company_number,year,year_end_price_pence,price_source_url,shares_outstanding,shares_source_url,market_cap_gbp,marketcap_source_url,annual_dividend_pence,dividend_source_url,notes
00077536,2015,1197,https://www.globenewswire.com/en/Attachment/DownloadAttachment?articleid=814033&fileId=378855&filename=Investeringsforeningen_Nykredit_Invest_aarsrapport_2015_inkl_beholdningslister.pdf&filetype=3&islogo=0,1175914837,https://www.sec.gov/Archives/edgar/data/929869/000119312516496532/d115889dex152.htm,14075700598.89,https://www.globenewswire.com/en/Attachment/DownloadAttachment?articleid=814033&fileId=378855&filename=Investeringsforeningen_Nykredit_Invest_aarsrapport_2015_inkl_beholdningslister.pdf&filetype=3&islogo=0,29.7,https://www.sec.gov/Archives/edgar/data/929869/000119312516496532/d115889dex152.htm,"RELX PLC entity/year audit: SEC-hosted issuer 2015 annual report inspected. 1,175,914,837 is the gross issued and fully paid RELX PLC ordinary-share count at 31 December 2015; treasury/employee-benefit-trust adjusted and weighted-average EPS denominators are not substituted. FY2015 ordinary dividend is 29.7p (7.4p interim + 22.3p final). Price and market cap remain blank because an exact final-trading-day close was not re-verified to the same standard. Audited Nykredit holdings schedule explicitly dated 31-12-2015 reports RELX PLC at 1,197p. Existing 1,175,914,837 shares are the gross issued and fully paid ordinary-share count from the SEC-hosted issuer annual report, not a treasury-adjusted/EPS count. RELX 2015 Market cap computed as 1197p/100 × 1175914837 issued ordinary shares = £14075700598.89."
00100097,2001,,,,,,,,,
00100097,2002,,,,,,,,,
00100097,2003,,,,,,,,,
00100097,2004,,,,,,,,,
00100097,2005,,,,,,,,,
00100097,2006,,,,,,,,,
00100097,2007,,,,,,,,,
00166023,2001,,,,,,,,,
00166023,2002,,,,,,,,,
00166023,2008,,,,,,,,,
00166023,2009,,,,,,,,,
00166023,2010,,,,,,,,,
00184594,2001,,,,,,,,,
00184594,2002,,,,,,,,,
00184594,2003,,,,,,,,,
00184594,2004,,,,,,,,,
00184594,2005,,,,,,,,,
00191285,2002,,,,,,,,,
00191285,2003,,,,,,,,,
00191285,2004,,,,,,,,,
00191285,2005,,,,,,,,,
00191285,2006,,,,,,,,,
00191285,2007,,,,,,,,,
00191285,2008,,,,,,,21.0,https://www.annualreports.co.uk/HostedData/AnnualReportArchive/r/LSE_REX.L_2008.pdf,"Rexam PLC 2008 annual report inspected: total FY2008 ordinary dividend was 21.0p (8.7p interim plus 12.3p final). No exact absolute 31 December share count is inferred from the report table expressed in thousands; price, shares and market cap remain blank. The later 2009 rights-issue restatement of the 2008 comparative is deliberately not substituted for this originally declared FY2008 dividend."
00191285,2009,,,876829017,https://www.annualreports.com/HostedData/AnnualReportArchive/r/LSE_REX.L_2009.pdf,,,8.0,https://www.annualreports.com/HostedData/AnnualReportArchive/r/LSE_REX.L_2009.pdf,"Rexam PLC 2009 annual report inspected. The company had exactly 876,829,017 ordinary shares in issue at 31 December 2009. The report documents the 29 July 2009 4-for-11 rights issue of 233,799,459 new shares at 150p; the post-rights year-end issued count is used rather than the weighted-average EPS denominator or rounded share figures. FY2009 ordinary dividend is 8.0p, with no interim dividend. The report restates the 2008 comparative for the rights issue, so that restated comparative is not transferred to the 2008 row. Price and market cap remain blank without a separately verified exact final-trading-day close."
00191285,2010,,,876864000,https://www.annualreports.com/HostedData/AnnualReportArchive/r/LSE_REX.L_2011.pdf,,,12.0,https://www.annualreports.com/HostedData/AnnualReportArchive/r/LSE_REX.L_2011.pdf,"Rexam PLC issuer annual report 2011 comparative data: 876,864,000 issued and fully paid ordinary shares at 31 Dec 2010; total dividend per share for FY2010 12.0p."
00191285,2011,352.8,https://www.annualreports.com/HostedData/AnnualReportArchive/r/LSE_REX.L_2011.pdf,877031000,https://www.annualreports.com/HostedData/AnnualReportArchive/r/LSE_REX.L_2011.pdf,3094165368.0,https://www.annualreports.com/HostedData/AnnualReportArchive/r/LSE_REX.L_2011.pdf,14.4,https://www.annualreports.com/HostedData/AnnualReportArchive/r/LSE_REX.L_2011.pdf,"Rexam PLC issuer annual report 2011: market price at 31 Dec 2011 £3.528 (=352.8p; 30 Dec was final LSE trading day), 877,031,000 issued and fully paid ordinary shares at 31 Dec, total FY2011 dividend 14.4p. Market cap computed as 352.8p/100 × 877,031,000 shares."
00191285,2012,,,,,,,,,
00191285,2013,530.5,https://www.nykreditinvest.dk/siteassets/pdfer/fonds-rapporter/arsrapporter/nykredit-invest/aarsrapport_2014_investeringsforeningen_nykredit_invest.pdf,791961000,https://s1.q4cdn.com/288660599/files/doc_downloads/reports_and_publications/Rexam-2014-Annual-Report.pdf,4201353105.000,https://www.nykreditinvest.dk/siteassets/pdfer/fonds-rapporter/arsrapporter/nykredit-invest/aarsrapport_2014_investeringsforeningen_nykredit_invest.pdf,17.4,https://s1.q4cdn.com/288660599/files/doc_downloads/reports_and_publications/Rexam-2014-Annual-Report.pdf,"Entity/capital audit: Rexam PLC (company 00191285) underwent a 9-for-10 ordinary-share consolidation in 2013. The 2014 issuer annual report comparative share-capital note gives 791,961,000 issued and fully paid ordinary shares at 31 December 2013. 2013 ordinary dividend is 5.7p interim + 11.7p final = 17.4p; excludes the separate return-of-cash capital transaction. Audited Nykredit 31-12-2014 schedule supplies 31-12-2013 comparative REXAM PLC quote 530.5p. Existing 791,961,000 shares preserved from issuer capital research; market cap uses same year-end capital basis. Rexam 2013 Market cap computed as 530.5p/100 × 791961000 issued ordinary shares = £4201353105.000."
00218019,2001,,,,,,,,,
00218019,2002,,,,,,,,,
00218019,2003,,,,,,,,,
00218019,2004,,,,,,,,,
00218019,2005,,,,,,,,,
00218019,2006,,,,,,,,,
00229231,2001,,,,,,,,,
00238525,2001,,,,,,,,,
00238525,2003,,,,,,,,,
00238525,2004,,,,,,,,,
00238525,2005,,,,,,,,,
00238525,2006,,,,,,,,,
00238525,2007,,,,,,,,,
00238525,2008,,,,,,,,,
00238525,2009,,,,,,,,,
00308372,2001,,,,,,,,,
00308372,2002,,,,,,,,,
00308372,2003,,,,,,,,,
00308372,2004,,,,,,,,,
00308372,2005,,,,,,,,,
00308372,2006,,,,,,,,,
00337663,2001,,,,,,,,,
00337663,2002,,,,,,,,,
00337663,2003,,,,,,,,,
00337663,2004,,,,,,,,,
00337663,2005,,,,,,,,,
00358949,2001,,,,,,,,,
00358949,2002,,,,,,,,,
00358949,2003,,,,,,,,,
00358949,2004,,,,,,,,,
00358949,2005,,,,,,,,,
00358949,2006,,,,,,,,,
00358949,2007,,,,,,,,,
00358949,2008,,,,,,,,,
00358949,2009,,,,,,,,,
00358949,2010,,,,,,,,,
00358949,2011,,,,,,,,,
00358949,2012,,,,,,,,,
00358949,2013,261,https://www.nykreditinvest.dk/siteassets/pdfer/fonds-rapporter/arsrapporter/nykredit-invest/aarsrapport_2014_investeringsforeningen_nykredit_invest.pdf,,,,,,,Audited Nykredit holdings schedule gives WM MORRISON SUPERMARKETS at 261p on 31-12-2013. No market cap computed without exact same-date issued ordinary shares.
00358949,2014,184.2,https://www.globenewswire.com/en/Attachment/DownloadAttachment?articleid=814033&fileId=378855&filename=Investeringsforeningen_Nykredit_Invest_aarsrapport_2015_inkl_beholdningslister.pdf&filetype=3&islogo=0,,,,,,,Audited Nykredit holdings schedule gives WM MORRISON SUPERMARKETS at 184.2p on 31-12-2014. No market cap computed without exact same-date issued ordinary shares.
00432989,2011,,,,,,,,,
00432989,2012,,,,,,,,,
00432989,2013,,,,,,,12.75,https://www.meggitt.com/wp-content/uploads/2018/11/full-year-results-2014.pdf,"Meggitt plc issuer full-year results inspected; FY2013 total ordinary dividend verified as 12.75p. Source share figures are rounded/other definitions, so exact 31 December issued shares are not inferred; price and market cap remain blank."
00432989,2014,519,https://www.globenewswire.com/en/Attachment/DownloadAttachment?articleid=814033&fileId=378855&filename=Investeringsforeningen_Nykredit_Invest_aarsrapport_2015_inkl_beholdningslister.pdf&filetype=3&islogo=0,,,,,13.75,https://www.meggitt.com/wp-content/uploads/2018/11/full-year-results-2014.pdf,"Meggitt plc issuer full-year results inspected; FY2014 total ordinary dividend verified as 13.75p. Source share figures are rounded/other definitions, so exact 31 December issued shares are not inferred; price and market cap remain blank. Audited Nykredit schedule dated 31-12-2015 includes 31-12-2014 comparative MEGGITT PLC quote 519p; used as exact 2014 year-end price. Market cap remains blank without exact 31-Dec issued-share count."
01299733,2001,,,,,,,,,
01299733,2002,,,,,,,,,
01299733,2003,,,,,,,,,
01631639,2001,,,,,,,,,"High-yield audit: historical Logica legal entity reviewed, but no metric populated because candidate evidence did not meet requested primary/exact-date standard. Blanks are intentional."
01682048,2001,,,,,,,8.5,https://www.investegate.co.uk/announcement/rns/eneraqua-technologies--etp/final-results-/339561,"Enterprise Oil PLC 2001 audited final-results announcement inspected. FY2001 ordinary dividend is 8.5p (3.15p interim plus 5.35p final). The company repurchased and cancelled shares during 2001, but the announcement does not establish an exact 31 December issued ordinary-share count; shares, price and market cap therefore remain blank. High-yield audit: existing Enterprise Oil FY2001 8.5p dividend preserved. No exact 31-Dec-2001 issued-share count or final-trading-day close established strongly enough for remaining fields."
01777777,2001,,,,,,,,,
01777777,2002,,,,,,,,,
01777777,2003,,,,,,,,,
01777777,2004,,,,,,,,,
01777777,2005,,,,,,,,,
01777777,2006,,,,,,,,,
01777777,2007,,,,,,,,,
01777777,2008,,,,,,,,,
01777777,2009,,,,,,,,,
01777777,2010,,,,,,,,,
02122142,2011,607.5,https://www.hl.co.uk/__data/assets/pdf_file/0008/15413147/2011-Report-and-Financial-Statements.pdf,474318625,https://www.hl.co.uk/__data/assets/pdf_file/0008/15413147/2011-Report-and-Financial-Statements.pdf,2881485646.875,https://www.hl.co.uk/__data/assets/pdf_file/0008/15413147/2011-Report-and-Financial-Statements.pdf,12.91,https://www.annualreports.com/HostedData/AnnualReportArchive/h/LSE_HL_2012.pdf,Hargreaves Lansdown plc FY2011 ordinary dividend is 12.91p; special dividends are excluded from annual_dividend_pence. FISCAL-YEAR-END AUDIT: shares_outstanding is the issuer-reported issued and fully paid ordinary share count at 30 June 2011. FISCAL-YEAR-END AUDIT: issuer report states the closing market price at 30 June 2011 was £6.075 (607.5p). Hargreaves Lansdown FY2011 Market cap computed as 607.5p/100 × 474318625 issued ordinary shares = £2881485646.875.
02122142,2012,529.5,https://www.hl.co.uk/__data/assets/pdf_file/0006/15413145/2012-Report-and-Financial-Statements.pdf,474318625,https://www.hl.co.uk/__data/assets/pdf_file/0006/15413145/2012-Report-and-Financial-Statements.pdf,2511517119.375,https://www.hl.co.uk/__data/assets/pdf_file/0006/15413145/2012-Report-and-Financial-Statements.pdf,15.75,https://www.annualreports.com/HostedData/AnnualReportArchive/h/LSE_HL_2012.pdf,"Hargreaves Lansdown plc FY2012 ordinary dividend is 15.75p; special dividends are excluded from annual_dividend_pence. Issuer interim financial statements at 31 December 2012 give exactly 474,318,625 issued and fully paid 0.4p ordinary shares; exact calendar-year-end issued count, not a weighted-average EPS denominator. FISCAL-YEAR-END AUDIT: shares_outstanding is the issuer-reported issued and fully paid ordinary share count at 30 June 2012. FISCAL-YEAR-END AUDIT: issuer report states the closing market price at 30 June 2012 was £5.295 (529.5p). Hargreaves Lansdown FY2012 Market cap computed as 529.5p/100 × 474318625 issued ordinary shares = £2511517119.375."
02122142,2013,,,474318625,https://www.hl.co.uk/__data/assets/pdf_file/0008/7404857/2013-Report-and-Financial-Statements.pdf,,,20.68,https://www.annualreports.com/HostedData/AnnualReportArchive/h/LSE_HL_2013.pdf,"Hargreaves Lansdown plc FY2013 ordinary dividend is 20.68p; special dividends are excluded from annual_dividend_pence. Issuer interim financial statements at 31 December 2013 give exactly 474,318,625 issued and fully paid 0.4p ordinary shares; exact calendar-year-end issued count, not a weighted-average EPS denominator. Audited Nykredit holdings schedule explicitly dated 31-12-2013 reports Hargreaves Lansdown PLC at 1354p; used as the exact year-end ordinary-share quote. Hargreaves Lansdown Market cap computed as 1354p/100 × 474318625 issued ordinary shares = £6422274182.50. FISCAL-YEAR-END AUDIT: shares_outstanding is the issuer-reported issued and fully paid ordinary share count at 30 June 2013. FISCAL-YEAR-END AUDIT CORRECTION: prior 31-December price removed because the company financial year ends 30 June; no exact 30-June/final-prior-trading-day close has been retained without direct verification. FISCAL-YEAR-END AUDIT CORRECTION: prior market cap based on 31-December price removed; recomputation deferred until an exact fiscal-year-end price is verified."
02122142,2014,,,474318625,https://www.investegate.co.uk/announcement/rns/hargreaves-lansdown--hl./final-results/3663430,,,22.39,https://www.annualreports.com/HostedData/AnnualReportArchive/h/LSE_HL_2014.pdf,"Hargreaves Lansdown plc FY2014 ordinary dividend is 22.39p; special dividends are excluded from annual_dividend_pence. Issuer interim financial statements at 31 December 2014 give exactly 474,318,625 issued and fully paid 0.4p ordinary shares; exact calendar-year-end issued count, not a weighted-average EPS denominator. Audited Nykredit holdings schedule explicitly dated 31-12-2014 reports Hargreaves Lansdown PLC at 1012p; used as the exact year-end ordinary-share quote. Hargreaves Lansdown Market cap computed as 1012p/100 × 474318625 issued ordinary shares = £4800104485.00. FISCAL-YEAR-END AUDIT: shares_outstanding is the issuer-reported issued and fully paid ordinary share count at 30 June 2014. FISCAL-YEAR-END AUDIT CORRECTION: prior 31-December price removed because the company financial year ends 30 June; no exact 30-June/final-prior-trading-day close has been retained without direct verification. FISCAL-YEAR-END AUDIT CORRECTION: prior market cap based on 31-December price removed; recomputation deferred until an exact fiscal-year-end price is verified."
02122142,2015,,,474318625,https://www.investegate.info/announcement/rns/hargreaves-lansdown--hl./final-results/4178174,,,21.60,https://www.annualreports.com/HostedData/AnnualReportArchive/h/LSE_HL_2015.pdf,"Hargreaves Lansdown plc FY2015 ordinary dividend is 21.60p; special dividends are excluded from annual_dividend_pence. Issuer interim financial statements at 31 December 2015 give exactly 474,318,625 issued and fully paid 0.4p ordinary shares; exact calendar-year-end issued count, not a weighted-average EPS denominator. Audited Nykredit holdings schedule explicitly dated 31-12-2015 reports Hargreaves Lansdown PLC at 1506p; used as the exact year-end ordinary-share quote. Hargreaves Lansdown Market cap computed as 1506p/100 × 474318625 issued ordinary shares = £7143238492.50. FISCAL-YEAR-END AUDIT: shares_outstanding is the issuer-reported issued and fully paid ordinary share count at 30 June 2015. FISCAL-YEAR-END AUDIT CORRECTION: prior 31-December price removed because the company financial year ends 30 June; no exact 30-June/final-prior-trading-day close has been retained without direct verification. FISCAL-YEAR-END AUDIT CORRECTION: prior market cap based on 31-December price removed; recomputation deferred until an exact fiscal-year-end price is verified."
02159282,2001,,,274967263,https://www.sec.gov/Archives/edgar/data/877799/000119312503015239/d20f.htm,,,,,"SEC-hosted Celltech filing explicitly states 274,967,263 ordinary shares at 31 December 2001 after 1,121,616 option-exercise shares during the year. Exact year-end issued count used; preference shares and later option exercises excluded."
02247735,2001,,,,,,,,,
02247735,2002,,,,,,,,,
02247735,2003,,,,,,,,,
02247735,2004,,,,,,,,,
02247735,2005,,,,,,,,,
02247735,2006,,,,,,,,,
02247735,2007,,,,,,,,,
02247735,2008,,,,,,,,,
02247735,2009,,,,,,,,,
02247735,2010,,,,,,,,,
02247735,2011,,,,,,,,,Audited Nykredit holdings schedule explicitly dated 31-12-2011 reports the listed Sky/British Sky Broadcasting ordinary share at 732.5p; name change to Sky plc is respected. FISCAL-YEAR-END AUDIT CORRECTION: 31-December quote removed because the issuer financial year ends 30 June; retain blank until exact 30-June/final-prior-trading-day evidence is directly verified.
02247735,2012,,,,,,,25.4,https://www.annualreports.com/HostedData/AnnualReportArchive/S/LSE_SKY_2015.pdf,"Audited Nykredit holdings schedule explicitly dated 31-12-2012 reports the listed Sky/British Sky Broadcasting ordinary share at 767p; name change to Sky plc is respected. Issuer annual report verifies total ordinary dividend for financial year ended 30 June 2012 of 25.4p; financial-year metric, not calendar-year cash paid. FISCAL-YEAR-END AUDIT CORRECTION: 31-December quote removed because the issuer financial year ends 30 June; retain blank until exact 30-June/final-prior-trading-day evidence is directly verified."
02247735,2013,,,,,,,30.0,https://www.annualreports.com/HostedData/AnnualReportArchive/S/LSE_SKY_2015.pdf,"Audited Nykredit holdings schedule explicitly dated 31-12-2013 reports the listed Sky/British Sky Broadcasting ordinary share at 844p; name change to Sky plc is respected. Issuer annual report verifies total ordinary dividend for financial year ended 30 June 2013 of 30.0p; financial-year metric, not calendar-year cash paid. FISCAL-YEAR-END AUDIT CORRECTION: 31-December quote removed because the issuer financial year ends 30 June; retain blank until exact 30-June/final-prior-trading-day evidence is directly verified."
02247735,2014,,,,,,,32.0,https://www.annualreports.com/HostedData/AnnualReportArchive/b/LSE_BSY_2014.pdf,"Audited Nykredit holdings schedule explicitly dated 31-12-2014 reports the listed Sky/British Sky Broadcasting ordinary share at 899p; name change to Sky plc is respected. Issuer annual report verifies total ordinary dividend for financial year ended 30 June 2014 of 32.0p; financial-year metric, not calendar-year cash paid. FISCAL-YEAR-END AUDIT CORRECTION: 31-December quote removed because the issuer financial year ends 30 June; retain blank until exact 30-June/final-prior-trading-day evidence is directly verified."
02247735,2015,,,,,,,32.8,https://www.annualreports.com/HostedData/AnnualReportArchive/S/LSE_SKY_2015.pdf,"Audited Nykredit holdings schedule explicitly dated 31-12-2015 reports the listed Sky/British Sky Broadcasting ordinary share at 1112p; name change to Sky plc is respected. Issuer annual report verifies total ordinary dividend for financial year ended 30 June 2015 of 32.8p; financial-year metric, not calendar-year cash paid. FISCAL-YEAR-END AUDIT CORRECTION: 31-December quote removed because the issuer financial year ends 30 June; retain blank until exact 30-June/final-prior-trading-day evidence is directly verified."
02280426,2014,291.3,https://www.directlinegroup.co.uk/content/dam/dlg/corporate/images-and-documents/investors/results-and-reports/2015/FY2014Results/annual-report-and-accounts-dlg-2014.pdf.downloadasset.pdf,1500000000,https://www.directlinegroup.co.uk/content/dam/dlg/corporate/images-and-documents/investors/results-and-reports/2015/FY2014Results/annual-report-and-accounts-dlg-2014.pdf.downloadasset.pdf,4369500000.000,https://www.directlinegroup.co.uk/content/dam/dlg/corporate/images-and-documents/investors/results-and-reports/2015/FY2014Results/annual-report-and-accounts-dlg-2014.pdf.downloadasset.pdf,13.2,https://www.directlinegroup.co.uk/content/dam/dlg/corporate/images-and-documents/investors/results-and-reports/2015/FY2014Results/annual-report-and-accounts-dlg-2014.pdf.downloadasset.pdf,"Direct Line Insurance Group plc 2014 annual report inspected: 31 December share price 291.3p; 1,500,000,000 fully paid 10p ordinary shares at 31 December; FY2014 regular ordinary dividend 13.2p. Special dividends excluded. Market cap computed on the same year-end capital basis."
02280426,2015,407.5,https://www.annualreports.com/HostedData/AnnualReportArchive/D/LSE_DLG_2015.pdf,1375000000,https://www.annualreports.com/HostedData/AnnualReportArchive/D/LSE_DLG_2015.pdf,5603125000.000,https://www.annualreports.com/HostedData/AnnualReportArchive/D/LSE_DLG_2015.pdf,13.8,https://www.annualreports.com/HostedData/AnnualReportArchive/D/LSE_DLG_2015.pdf,"Direct Line Insurance Group plc 2015 annual report inspected: 31 December share price £4.075 converted to 407.5p; year-end issued capital 1,375,000,000 ordinary shares. The 30 June 2015 11-for-12 consolidation reduced 1.5bn old shares to 1.375bn new shares; post-consolidation basis used consistently. FY2015 regular ordinary dividend 13.8p; special interim dividends excluded."
02294747,2001,,,,,,,,,
02294747,2002,,,,,,,,,
02294747,2003,,,,,,,,,
02339826,2008,138.1,https://static.rsagroup.com/rsa/investors/company-performance/annual-reports/2008-annual-report-and-accounts.pdf,3329435791,https://static.rsagroup.com/rsa/investors/company-performance/annual-reports/2008-annual-report-and-accounts.pdf,4597950827.371,https://static.rsagroup.com/rsa/investors/company-performance/annual-reports/2008-annual-report-and-accounts.pdf,7.71,https://static.rsagroup.com/rsa/investors/company-performance/annual-reports/2008-annual-report-and-accounts.pdf,RSA Insurance Group plc FY2008 issuer annual report inspected. The requested price is the ordinary-share closing market price on the last dealing day of the calendar year (138.1p). Gross issued and fully paid ordinary shares at 31 December are 3329435791; employee-share-trust/own-share holdings are not deducted because they remain part of issued ordinary share capital and are not a weighted-average EPS denominator. FY2008 ordinary dividend is 7.71p (interim plus final for that financial year). Market cap is computed as 138.1/100 × 3329435791 on the identical year-end capital basis. Preference shares are excluded.
02339826,2009,120.6,https://static.rsagroup.com/rsa/investors/company-performance/annual-reports/2009-annual-report-final.pdf,3420173187,https://static.rsagroup.com/rsa/investors/company-performance/annual-reports/2009-annual-report-final.pdf,4124728863.522,https://static.rsagroup.com/rsa/investors/company-performance/annual-reports/2009-annual-report-final.pdf,8.25,https://static.rsagroup.com/rsa/investors/company-performance/annual-reports/2009-annual-report-final.pdf,RSA Insurance Group plc FY2009 issuer annual report inspected. The requested price is the ordinary-share closing market price on the last dealing day of the calendar year (120.6p). Gross issued and fully paid ordinary shares at 31 December are 3420173187; employee-share-trust/own-share holdings are not deducted because they remain part of issued ordinary share capital and are not a weighted-average EPS denominator. FY2009 ordinary dividend is 8.25p (interim plus final for that financial year). Market cap is computed as 120.6/100 × 3420173187 on the identical year-end capital basis. Preference shares are excluded.
02339826,2010,125.2,https://static.rsagroup.com/rsa/investors/company-performance/annual-reports/annual-report-and-accounts-2010.pdf,3495950877,https://static.rsagroup.com/rsa/investors/company-performance/annual-reports/annual-report-and-accounts-2010.pdf,4376930498.004,https://static.rsagroup.com/rsa/investors/company-performance/annual-reports/annual-report-and-accounts-2010.pdf,8.82,https://static.rsagroup.com/rsa/investors/company-performance/annual-reports/annual-report-and-accounts-2010.pdf,RSA Insurance Group plc FY2010 issuer annual report inspected. The requested price is the ordinary-share closing market price on the last dealing day of the calendar year (125.2p). Gross issued and fully paid ordinary shares at 31 December are 3495950877; employee-share-trust/own-share holdings are not deducted because they remain part of issued ordinary share capital and are not a weighted-average EPS denominator. FY2010 ordinary dividend is 8.82p (interim plus final for that financial year). Market cap is computed as 125.2/100 × 3495950877 on the identical year-end capital basis. Preference shares are excluded.
02339826,2011,105.2,https://static.rsagroup.com/rsa/investors/company-performance/annual-reports/rsa-annual-report-2011.pdf,3531021230,https://static.rsagroup.com/rsa/investors/company-performance/annual-reports/rsa-annual-report-2011.pdf,3714634333.960,https://static.rsagroup.com/rsa/investors/company-performance/annual-reports/rsa-annual-report-2011.pdf,9.16,https://static.rsagroup.com/rsa/investors/company-performance/annual-reports/rsa-annual-report-2011.pdf,RSA Insurance Group plc FY2011 issuer annual report inspected. The requested price is the ordinary-share closing market price on the last dealing day of the calendar year (105.2p). Gross issued and fully paid ordinary shares at 31 December are 3531021230; employee-share-trust/own-share holdings are not deducted because they remain part of issued ordinary share capital and are not a weighted-average EPS denominator. FY2011 ordinary dividend is 9.16p (interim plus final for that financial year). Market cap is computed as 105.2/100 × 3531021230 on the identical year-end capital basis. Preference shares are excluded.
