symbol|company_name|founded_year|founded_month|source_url
BHGE|Baker Hughes (a GE Company)|1907|August|https://en.wikipedia.org/wiki/Baker_Hughes
BHMSQ|Bethlehem Steel Corporation|1857||https://en.wikipedia.org/wiki/Bethlehem_Steel
BK|Bank of New York Mellon|1784|June|https://en.wikipedia.org/wiki/BNY
BKB|BankBoston|1784||https://en.wikipedia.org/wiki/BankBoston
BLL|Ball Corporation|1880||https://en.wikipedia.org/wiki/Ball_Corporation
BLS|BellSouth Corporation|1983|December|https://en.wikipedia.org/wiki/BellSouth
BLY|Bally Manufacturing Corporation|1932|January|https://en.wikipedia.org/wiki/Bally_Manufacturing
BMET|Biomet, Inc.|1977||https://en.wikipedia.org/wiki/Biomet
BMGCA|||
BMS|Bemis Company, Inc.|1858||https://en.wikipedia.org/wiki/Bemis_Company
BMY|Bristol Myers Squibb|1887||https://en.wikipedia.org/wiki/Bristol_Myers_Squibb
BNI|Burlington Northern Santa Fe|1849||https://en.wikipedia.org/wiki/BNSF_Railway
BNL|Broadstone Net Lease, Inc.|2007||https://broadstone.com/about-us/
BOAT|Boatmen's Bancshares, Inc.|1847||https://en.wikipedia.org/wiki/Boatmen%27s_Bancshares
BOL|Bausch & Lomb|1853||https://en.wikipedia.org/wiki/Bausch_%26_Lomb
BT|Bankers Trust|1903|March|https://en.wikipedia.org/wiki/Bankers_Trust
BUD|Anheuser-Busch InBev|1852||https://en.wikipedia.org/wiki/Anheuser-Busch
CA|CA, Inc. (Computer Associates)|1976||https://en.wikipedia.org/wiki/CA_Technologies
CAL|Caleres (Brown Shoe Company)|1878||https://en.wikipedia.org/wiki/Caleres
CAR|Avis Budget Group, Inc.|1946||https://en.wikipedia.org/wiki/Avis_Car_Rental
CARR|Carrier Global Corporation|1915|June|https://en.wikipedia.org/wiki/Carrier_Global
CBB|Cincinnati Bell Inc.|1873|July|https://en.wikipedia.org/wiki/Cincinnati_Bell
CBE|Cooper Industries|1833||https://en.wikipedia.org/wiki/Cooper_Industries
CBS|CBS Corporation|1927|January|https://en.wikipedia.org/wiki/CBS
CCB|Coastal Financial Corporation|1997|April|https://www.cbinsights.com/company/coastal-financial
CCK|Crown Holdings (Crown Cork & Seal)|1892||https://en.wikipedia.org/wiki/Crown_Holdings
CCTYQ|Circuit City Stores, Inc.|1949||https://en.wikipedia.org/wiki/Circuit_City
CEN|Arbitron Inc.|1949||https://en.wikipedia.org/wiki/Nielsen_Audio
CFL|||
CG|Carlyle Group Inc.|1987||https://en.wikipedia.org/wiki/The_Carlyle_Group
CGP|Coastal Corporation|1955||https://en.wikipedia.org/wiki/Coastal_Corporation
CHA|Chagee Holdings Ltd.|2017|June|https://en.wikipedia.org/wiki/Chagee
CHRS|Coherus BioSciences|2010||https://www.cbinsights.com/company/coherus-biosciences
CIN|Cinergy Corp|1994|October|https://en.wikipedia.org/wiki/Cinergy
CMA|Comerica Incorporated|1849||https://en.wikipedia.org/wiki/Comerica
CMB|Chase Manhattan Corporation|1799||https://en.wikipedia.org/wiki/Chase_Manhattan
CNG|Consolidated Natural Gas Company|1942||https://www.fundinguniverse.com/company-histories/consolidated-natural-gas-company-history/
CNW|Con-way Inc.|1929||https://en.wikipedia.org/wiki/Con-way
COMS|3Com Corporation|1979||https://en.wikipedia.org/wiki/3Com
COV|Covidien Ltd.|2007|June|https://en.wikipedia.org/wiki/Covidien
CPQ|Compaq Computer Corporation|1982|February|https://www.britannica.com/money/Compaq
CPWR|Ocean Thermal Energy Corporation|1998||https://stockanalysis.com/quote/otc/CPWR/company/
CR|Crane Co.|1855||https://en.wikipedia.org/wiki/Crane_Co.
CRR|CARBO Ceramics Inc.|1987||https://www.forbes.com/companies/carbo-ceramics/
CSE|Case Corporation|1842||https://en.wikipedia.org/wiki/Case_Corporation
CSR|Centerspace (IRET)|1970||https://www.prnewswire.com/news-releases/iret-is-now-centerspace-301189879.html
CTB|Cooper Tire & Rubber Company|1914||https://en.wikipedia.org/wiki/Cooper_Tire_%26_Rubber_Company
CTX|Centex Corporation|1950||https://en.wikipedia.org/wiki/Centex
CYM|Cyprus Amax Minerals Company|1985||https://en.wikipedia.org/wiki/Cyprus_Amax_Minerals
CYR|Cray Research, Inc.|1972||https://en.wikipedia.org/wiki/Cray
DALRQ|Delta Air Lines, Inc.|1925|March|https://en.wikipedia.org/wiki/Delta_Air_Lines
DCNAQ|Dana Corporation|1904||https://en.wikipedia.org/wiki/Dana_Incorporated
DD|DuPont|1802|July|https://en.wikipedia.org/wiki/DuPont_(1802%E2%80%932017)
DDS|Dillard's, Inc.|1938||https://en.wikipedia.org/wiki/Dillard%27s
DEC|Diversified Energy Company plc|2001||https://en.wikipedia.org/wiki/Diversified_Energy
DGN|Data General Corporation|1968|April|https://en.wikipedia.org/wiki/Data_General
DI|Dresser Industries, Inc.|1880||https://en.wikipedia.org/wiki/Dresser_Industries
DIGI|Digi International Inc.|1985||https://en.wikipedia.org/wiki/Digi_International
DJ|Dow Jones & Company, Inc.|1882||https://en.wikipedia.org/wiki/Dow_Jones_%26_Company
DLX|Deluxe Corporation|1915||https://en.wikipedia.org/wiki/Deluxe_Corporation
DOW|Dow Inc. (Dow Chemical)|1897|May|https://en.wikipedia.org/wiki/Dow_Chemical_Company
DWD|Dean Witter, Discover & Co.|1924||https://www.encyclopedia.com/books/politics-and-business-magazines/dean-witter-discover-co
DXC|DXC Technology (CSC)|1959||https://en.wikipedia.org/wiki/Computer_Sciences_Corporation
EC|Ecopetrol S.A.|1951|January|https://en.wikipedia.org/wiki/Ecopetrol
ECH|Echlin Inc.|1924||https://www.fundinguniverse.com/company-histories/echlin-inc-history/
ECO|Okeanis Eco Tankers Corp.|2018|April|https://www.okeanisecotankers.com/our-business/
EFU|Eastern Enterprises|1929||https://www.encyclopedia.com/books/politics-and-business-magazines/eastern-enterprises
EKDKQ|Eastman Kodak Company|1881|January|https://en.wikipedia.org/wiki/Kodak
ELV|Elevance Health (Anthem/WellPoint)|1946||https://en.wikipedia.org/wiki/Elevance_Health
EMC|EMC Corporation|1979|August|https://en.wikipedia.org/wiki/Dell_EMC
EMN|Eastman Chemical Company|1920|July|https://en.wikipedia.org/wiki/Eastman_Chemical_Company
ENRNQ|Enron Corporation|1985||https://en.wikipedia.org/wiki/Enron
ENS|EnerSys|2000||https://en.wikipedia.org/wiki/EnerSys
ETS|Elite Express Holding Inc.|2020||https://stockanalysis.com/stocks/ets/company/
FBF|FleetBoston Financial Corporation|1791||https://www.encyclopedia.com/books/politics-and-business-magazines/fleetboston-financial-corporation
FBO|Federal Paper Board Company|1916||https://www.fundinguniverse.com/company-histories/federal-paper-board-company-inc-history/
FCN|FTI Consulting, Inc.|1982||https://en.wikipedia.org/wiki/FTI_Consulting
FD|Federated Department Stores|1929||https://en.wikipedia.org/wiki/Macy%27s,_Inc.
FDC|First Data Corporation|1971|June|https://en.wikipedia.org/wiki/First_Data
FG|F&G Annuities & Life, Inc.|1959||https://en.wikipedia.org/wiki/Fidelity_%26_Guaranty_Life
FJ|Fort James Corporation|1997|August|https://www.referenceforbusiness.com/history2/15/Fort-James-Corporation.html
FL|Foot Locker, Inc.|1879||https://en.wikipedia.org/wiki/Foot_Locker
FLMIQ|Fleming Companies, Inc.|1915||https://en.wikipedia.org/wiki/Fleming_Companies,_Inc
FLTWQ|Fruit of the Loom, Inc.|1851||https://en.wikipedia.org/wiki/Fruit_of_the_Loom
FMC|FMC Corporation|1883||https://en.wikipedia.org/wiki/FMC_Corporation
FMCC|Freddie Mac|1970||https://en.wikipedia.org/wiki/Freddie_Mac
FNMA|Fannie Mae|1938|February|https://en.wikipedia.org/wiki/Fannie_Mae
FTL.A|Fruit of the Loom, Inc.|1851||https://en.wikipedia.org/wiki/Fruit_of_the_Loom
FWLT|Foster Wheeler Corporation|1927||https://en.wikipedia.org/wiki/Foster_Wheeler
G|Genpact Ltd.|1997||https://en.wikipedia.org/wiki/Genpact
GAPTQ|Great Atlantic & Pacific Tea Company|1859||https://en.wikipedia.org/wiki/Great_Atlantic_%26_Pacific_Tea_Company
GAS|AGL Resources Inc.|1856||https://en.wikipedia.org/wiki/Atlanta_Gas_Light_Company
GDT|Guidant Corporation|1994|September|https://en.wikipedia.org/wiki/Guidant
GDW|Golden West Financial Corporation|1963||https://en.wikipedia.org/wiki/Golden_West_Financial
GFS.A|GlobalFoundries Inc.|2009|March|https://en.wikipedia.org/wiki/GlobalFoundries
GIDL|Giddings & Lewis, Inc.|1859||https://www.fundinguniverse.com/company-histories/giddings-lewis-inc-history/
GLD|SPDR Gold Trust|2004|November|https://en.wikipedia.org/wiki/SPDR_Gold_Shares
GLK|Great Lakes Chemical Corporation|1936||https://en.wikipedia.org/wiki/Great_Lakes_Chemical_Corporation
GNT|GAMCO Natural Resources Gold & Income Trust|2011|January|https://en.wikipedia.org/wiki/GAMCO_Investors
GP|GreenPower Motor Company Inc.|2010||https://en.wikipedia.org/wiki/GreenPower_Motor_Company
GPS|Gap Inc.|1969|August|https://en.wikipedia.org/wiki/Gap_Inc.
GPU|GPU Inc. (General Public Utilities)|1946||https://en.wikipedia.org/wiki/General_Public_Utilities
GR|Goodrich Corporation (B.F. Goodrich)|1870||https://en.wikipedia.org/wiki/Goodrich_Corporation
GRA|W. R. Grace and Company|1854||https://en.wikipedia.org/wiki/W._R._Grace_and_Company
GRN|Barclays Bank PLC (iPath ETN)|1690||https://en.wikipedia.org/wiki/Barclays
GSX|General Signal Corporation|1904||https://en.wikipedia.org/wiki/General_Signal
GT|Goodyear Tire & Rubber Company|1898|August|https://en.wikipedia.org/wiki/Goodyear_Tire_and_Rubber_Company
GTE|Gran Tierra Energy Inc.|2005|May|https://en.wikipedia.org/wiki/Gran_Tierra_Energy
GWF|Golden West Financial Corporation|1963||https://en.wikipedia.org/wiki/Golden_West_Financial
H|Hyatt Hotels Corporation|1957|September|https://en.wikipedia.org/wiki/Hyatt
HDLM|Handleman Company|1934||https://en.wikipedia.org/wiki/Handleman_Company
HES|Hess Corporation|1933||https://en.wikipedia.org/wiki/Hess_Corporation
HET|Harrah's Entertainment|1937|October|https://en.wikipedia.org/wiki/Harrah%27s_Entertainment
HFS|HFS Incorporated|1990||https://en.wikipedia.org/wiki/HFS_Incorporated
HI|Household International|1878||https://en.wikipedia.org/wiki/Household_Finance_Corporation
HM|Homestake Mining Company|1877|November|https://en.wikipedia.org/wiki/Homestake_Mining_Company
HNZ|H. J. Heinz Company|1869||https://en.wikipedia.org/wiki/H._J._Heinz_Company
HP|Helmerich & Payne, Inc.|1920||https://en.wikipedia.org/wiki/Helmerich_%26_Payne
HPC|Hercules Inc.|1912||https://en.wikipedia.org/wiki/Hercules_Inc.
HPH|Harnischfeger Industries|1884|December|https://en.wikipedia.org/wiki/Harnischfeger
HPQ|HP Inc. (Hewlett-Packard)|1939|January|https://en.wikipedia.org/wiki/Hewlett-Packard
HRB|H&R Block, Inc.|1955||https://en.wikipedia.org/wiki/H%26R_Block
HRS|Harris Corporation|1895||https://en.wikipedia.org/wiki/Harris_Corporation
HSH|Hillshire Brands (Sara Lee)|1939||https://en.wikipedia.org/wiki/Sara_Lee_Corporation
I|First Interstate Bancorp|1958|July|https://en.wikipedia.org/wiki/First_Interstate_Bancorp
IFF|International Flavors & Fragrances|1889||https://en.wikipedia.org/wiki/International_Flavors_%26_Fragrances
IKN|IKON Office Solutions|1952||https://www.fundinguniverse.com/company-histories/ikon-office-solutions-inc-history/
INCLF|Inco Limited|1902||https://en.wikipedia.org/wiki/Inco
INGR|Ingredion Inc.|1906|February|https://en.wikipedia.org/wiki/Ingredion
IPG|Interpublic Group|1902||https://en.wikipedia.org/wiki/The_Interpublic_Group_of_Companies
ITT|ITT Inc.|1920||https://en.wikipedia.org/wiki/ITT_Inc.
JAVA|Sun Microsystems, Inc.|1982|February|https://en.wikipedia.org/wiki/Sun_Microsystems
JCP|J. C. Penney Company|1902|April|https://en.wikipedia.org/wiki/J._C._Penney
JH|John H. Harland Company|1923||https://en.wikipedia.org/wiki/John_H._Harland_Company
JOS|Jos. A. Bank Clothiers|1905||https://en.wikipedia.org/wiki/Jos._A._Bank
JP|Jefferson-Pilot Corporation|1907||https://www.fundinguniverse.com/company-histories/jefferson-pilot-corporation-history/
JPM|JPMorgan Chase & Co.|1799||https://en.wikipedia.org/wiki/JPMorgan_Chase
JWN|Nordstrom, Inc.|1901||https://en.wikipedia.org/wiki/Nordstrom
K|Kellogg Company (Kellanova)|1906|February|https://en.wikipedia.org/wiki/Kellanova
KATE|Kate Spade & Company (Liz Claiborne)|1976||https://en.wikipedia.org/wiki/Kate_Spade_%26_Company
KBH|KB Home|1957||https://en.wikipedia.org/wiki/KB_Home
KEYS|Keysight Technologies|1939||https://www.keysight.com/us/en/about/keysight-technologies-history.html/1000
KHC|The Kraft Heinz Company|1869||https://en.wikipedia.org/wiki/H._J._Heinz_Company
KLAC|KLA Corporation|1975||https://en.wikipedia.org/wiki/KLA_Corporation
KM|Kmart Corp. (S.S. Kresge)|1899||https://en.wikipedia.org/wiki/Kmart
KMG|Kerr-McGee Corporation|1929||https://en.wikipedia.org/wiki/Kerr-McGee
KMG_B|Kerr-McGee Corporation|1929||https://en.wikipedia.org/wiki/Kerr-McGee
KRB|MBNA Corporation|1982||https://en.wikipedia.org/wiki/MBNA
KRI|Knight Ridder, Inc.|1974||https://en.wikipedia.org/wiki/Knight_Ridder
KVUE|Kenvue Inc.|1886||https://en.wikipedia.org/wiki/Kenvue
KWP|King World Productions|1964||https://en.wikipedia.org/wiki/King_World
LB|LandBridge Company LLC|2021||https://stockanalysis.com/stocks/lb/company/
LDG|Longs Drug Stores Corporation|1938||https://www.fundinguniverse.com/company-histories/longs-drug-stores-corporation-history/
LDW.B|Laidlaw Inc.|1924||https://en.wikipedia.org/wiki/Laidlaw
LHX|L3Harris Technologies|1895||https://en.wikipedia.org/wiki/Harris_Corporation
LLX|Louisiana Land and Exploration Company|1927||https://www.fundinguniverse.com/company-histories/the-louisiana-land-and-exploration-company-history/
LNC|Lincoln National Corporation|1905|May|https://en.wikipedia.org/wiki/Lincoln_National_Corporation
LOR|Loral Corporation|1948||https://en.wikipedia.org/wiki/Loral_Corporation
LOW|Lowe's Companies, Inc.|1921||https://en.wikipedia.org/wiki/Lowe's
LPX|Louisiana-Pacific Corporation|1972|July|https://en.wikipedia.org/wiki/Louisiana-Pacific
LSI|LSI Logic Corporation|1981||https://en.wikipedia.org/wiki/LSI_Logic
LU|Lufax Holding Ltd|2011|September|https://en.wikipedia.org/wiki/Lufax
LUB|Luby's, Inc.|1947||https://en.wikipedia.org/wiki/Luby's
M|Macy's, Inc.|1858|October|https://en.wikipedia.org/wiki/Macy's
MAT|Mattel, Inc.|1945|January|https://www.britannica.com/money/Mattel-Inc
MAY|May Department Stores Company|1877||https://en.wikipedia.org/wiki/The_May_Department_Stores_Company
MBI|MBIA Inc.|1973||https://en.wikipedia.org/wiki/MBIA
MCIC|MCI Communications Corporation|1963|October|https://en.wikipedia.org/wiki/MCI_Communications
MD|Pediatrix Medical Group|1979||https://mednax.gcs-web.com/
MDP|Meredith Corporation|1902||https://en.wikipedia.org/wiki/Meredith_Corporation
MDR|McDermott International|1923||https://en.wikipedia.org/wiki/McDermott_International
MEA|Mead Corporation|1846||https://www.encyclopedia.com/social-sciences-and-law/economics-business-and-labor/businesses-and-occupations/mead-corp
MEE|Massey Energy Company|1920||https://en.wikipedia.org/wiki/Massey_Energy
MEL|Mellon Financial Corporation|1869||https://en.wikipedia.org/wiki/Mellon_Financial
MER|Merrill Lynch & Co.|1914|January|https://en.wikipedia.org/wiki/Merrill_Lynch_%26_Co.
MII|Morton International, Inc.|1848||https://www.encyclopedia.com/books/politics-and-business-magazines/morton-international-inc
MIL|Millipore Corporation|1954||https://www.fundinguniverse.com/company-histories/millipore-corporation-history/
MKG|Mallinckrodt|1867||https://en.wikipedia.org/wiki/Mallinckrodt
MMC|Marsh & McLennan Companies|1905||https://en.wikipedia.org/wiki/Marsh_McLennan
MNR|Mach Natural Resources LP|2017||https://stockanalysis.com/stocks/mnr/company/
MNST|Monster Beverage Corporation|1935||https://en.wikipedia.org/wiki/Hansen_Natural
MOB|Mobilicom Limited|2008||https://stockanalysis.com/stocks/mob/company/
MOS|The Mosaic Company|2004|October|https://en.wikipedia.org/wiki/The_Mosaic_Company
MPC|Marathon Petroleum Corporation|1887|August|https://en.wikipedia.org/wiki/Marathon_Oil
MRO|Marathon Oil Corporation|1887|August|https://en.wikipedia.org/wiki/Marathon_Oil
MSI|Motorola Solutions, Inc.|1928|September|https://en.wikipedia.org/wiki/Motorola_Solutions
MST|Mercantile Stores Company|1914||https://en.wikipedia.org/wiki/Mercantile_Stores_Company,_Inc.
MTG|MGIC Investment Corporation|1957||https://en.wikipedia.org/wiki/MGIC_Investment_Corporation
MTLQQ|Motors Liquidation (old GM)|1908|September|https://en.wikipedia.org/wiki/General_Motors
MWI|MWI Veterinary Supply|1976||https://www.encyclopedia.com/books/politics-and-business-magazines/mwi-veterinary-supply-inc
MWV|MeadWestvaco|1846||https://en.wikipedia.org/wiki/MeadWestvaco
MYG|Maytag Corporation|1893||https://en.wikipedia.org/wiki/Maytag
MZIAQ|Mirant Corporation|1981||https://en.wikipedia.org/wiki/Mirant
NAE|NorAm Energy Corp (Arkla)|1928||https://en.wikipedia.org/wiki/NorAm_Energy
NAV|Navistar International|1902|March|https://en.wikipedia.org/wiki/International_Harvester
NC|NACCO Industries, Inc.|1913||https://en.wikipedia.org/wiki/NACCO_Industries
NCC|National City Corporation|1845|May|https://en.wikipedia.org/wiki/National_City_Corp.
NEE|NextEra Energy (Florida Power & Light)|1925|December|https://www.nexteraenergy.com/about-us/our-history.html
NLC|Nalco Holding Company|1928||https://en.wikipedia.org/wiki/Nalco_Water
NLV|||
NMK|Niagara Mohawk Power Corporation|1929||https://en.wikipedia.org/wiki/Niagara_Mohawk_Power_Corporation
NOC|Northrop Grumman|1939||https://en.wikipedia.org/wiki/Northrop_Corporation
NOVL|Novell|1980||https://en.wikipedia.org/wiki/Novell
NRTLQ|Nortel Networks|1895|December|https://en.wikipedia.org/wiki/Nortel
NSC|Norfolk Southern|1982|June|https://en.wikipedia.org/wiki/Norfolk_Southern_Railway
NSI|National Service Industries|1919|April|https://www.encyclopedia.com/social-sciences-and-law/economics-business-and-labor/businesses-and-occupations/national-service-industries-inc
NSM|National Semiconductor|1959|May|https://en.wikipedia.org/wiki/National_Semiconductor
NWL|Newell Brands|1903||https://en.wikipedia.org/wiki/Newell_Brands
NWS|News Corp|2013|June|https://en.wikipedia.org/wiki/News_Corp
NWSA|News Corp|2013|June|https://en.wikipedia.org/wiki/News_Corp
NYN|NYNEX|1984||https://en.wikipedia.org/wiki/NYNEX
NYT|New York Times Company|1851|September|https://en.wikipedia.org/wiki/The_New_York_Times_Company
OAT|Quaker Oats Company|1877||https://en.wikipedia.org/wiki/Quaker_Oats_Company
OK|Old Kent Financial Corporation|1853||https://www.encyclopedia.com/books/politics-and-business-magazines/old-kent-financial-corp
OM|Outset Medical, Inc.|2003|May|https://en.wikipedia.org/wiki/Outset_Medical
OMX|OfficeMax|1988|April|https://en.wikipedia.org/wiki/OfficeMax
ONE|Bank One Corporation|1968||https://en.wikipedia.org/wiki/Bank_One
ORX|Oryx Energy Company|1988||https://en.wikipedia.org/wiki/Kerr-McGee
OTIS|Otis Worldwide (Otis Elevator)|1853|September|https://en.wikipedia.org/wiki/Otis_Worldwide
OWENQ|Owens Corning|1938||https://en.wikipedia.org/wiki/Owens_Corning
PAC|Grupo Aeroportuario del Pacifico|1998|November|https://en.wikipedia.org/wiki/Grupo_Aeroportuario_del_Pac%C3%ADfico
PAS|PepsiAmericas, Inc.|1851||https://en.wikipedia.org/wiki/PepsiAmericas
PBI|Pitney Bowes Inc.|1920|April|https://en.wikipedia.org/wiki/Pitney_Bowes
PBY|Pep Boys|1921|August|https://en.wikipedia.org/wiki/Pep_Boys
PCH|Potlatch (PotlatchDeltic)|1903||https://en.wikipedia.org/wiki/PotlatchDeltic
PD|PagerDuty, Inc.|2009||https://en.wikipedia.org/wiki/PagerDuty
PDG|Placer Dome Inc.|1987|August|https://en.wikipedia.org/wiki/Placer_Dome
PEL|Panhandle Eastern Pipe Line Co.|1929||https://en.wikipedia.org/wiki/Panhandle_Eastern
PET|Pet Incorporated|1885|June|https://en.wikipedia.org/wiki/Pet,_Incorporated
PGL|Peoples Energy Corp|1849||https://en.wikipedia.org/wiki/Peoples_Energy
PGN|Progress Energy Inc.|1908|July|https://en.wikipedia.org/wiki/Carolina_Power_%26_Light
PHA|Pharmacia Corporation|1911||https://en.wikipedia.org/wiki/Pharmacia
PHB|Pioneer Hi-Bred International|1926||https://en.wikipedia.org/wiki/Pioneer_Hi_Bred_International
PKI|PerkinElmer, Inc. (EG&G)|1937|April|https://en.wikipedia.org/wiki/PerkinElmer
PLL|Pall Corporation|1946||https://en.wikipedia.org/wiki/Pall_Corporation
PM|Philip Morris International|1847||https://en.wikipedia.org/wiki/Philip_Morris_International
PMI|Picard Medical, Inc.|2001||https://picardmedical.com
PNU|Pharmacia & Upjohn Inc.|1886||https://en.wikipedia.org/wiki/Upjohn
POM|Pepco Holdings (Potomac Electric)|1896||https://en.wikipedia.org/wiki/Pepco_Holdings
PPW|PacifiCorp|1910||https://en.wikipedia.org/wiki/PacifiCorp
PRD|Polaroid Corporation|1937||https://en.wikipedia.org/wiki/Polaroid_Corporation
PSKY|Paramount Skydance Corporation|1912||https://en.wikipedia.org/wiki/Paramount_Pictures
PSX|Phillips 66|1917|June|https://en.wikipedia.org/wiki/Phillips_66
PVN|Providian Financial Corporation|1981||https://en.wikipedia.org/wiki/Providian
PVT|Provident Companies, Inc.|1887|May|https://en.wikipedia.org/wiki/Unum
PWJ|Paine Webber Group Inc|1880||https://en.wikipedia.org/wiki/Paine_Webber
PX|Praxair, Inc.|1907||https://en.wikipedia.org/wiki/Praxair
PZE|Pennzoil Company|1913||https://en.wikipedia.org/wiki/Pennzoil
R|Ryder System, Inc.|1933||https://en.wikipedia.org/wiki/Ryder
RAD|Rite Aid Corporation|1962|September|https://en.wikipedia.org/wiki/Rite_Aid
RAI_B|Reynolds American Inc.|1875||https://en.wikipedia.org/wiki/R._J._Reynolds_Tobacco_Company
RAL|Ralston Purina Company|1894||https://en.wikipedia.org/wiki/Ralston_Purina
RBD|Rubbermaid Incorporated|1920|May|https://en.wikipedia.org/wiki/Rubbermaid
RBK|Reebok International Ltd|1958||https://en.wikipedia.org/wiki/Reebok
RDC|Rowan Companies|1923||https://en.wikipedia.org/wiki/Rowan_Companies
RDS.A|Royal Dutch Shell|1907|April|https://en.wikipedia.org/wiki/Shell_plc
RLM|Reynolds Metals Company|1919||https://en.wikipedia.org/wiki/Reynolds_Metals_Company
RML|Russell Corporation|1902||https://en.wikipedia.org/wiki/Russell_Brands
RNB|Republic New York Corporation|1966||https://en.wikipedia.org/wiki/Republic_New_York
ROH|Rohm and Haas|1909|September|https://en.wikipedia.org/wiki/Rohm_and_Haas
RRD|R.R. Donnelley & Sons|1864||https://en.wikipedia.org/wiki/RR_Donnelley
RSG|Republic Services|1981||https://en.wikipedia.org/wiki/Republic_Services
RSHCQ|RadioShack Corporation|1921||https://en.wikipedia.org/wiki/RadioShack
RTN|Raytheon Company|1922|July|https://en.wikipedia.org/wiki/Raytheon
RX|IMS Health|1954||https://en.wikipedia.org/wiki/IMS_Health
RYAN|Ryan Specialty Holdings|2010||https://en.wikipedia.org/wiki/Ryan_Specialty
RYC|Raychem Corporation|1957||https://en.wikipedia.org/wiki/Raychem
RYI|Ryerson Holding Corporation|1842||https://en.wikipedia.org/wiki/Ryerson_(company)
