queue,priority,ticker,company,spine_id,issues,next_step,entry_not_certified,exit_not_certified,manual_required,source_upgrade_pending,decision_status,decision_note,accepted_source_url,certified_boundary,corroborating_source_url,blocked_financial_rows,financial_unlock_rank
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,AIV,Apartment Investment and Management Co,SP500_SPELL_0042,EXIT_NOT_CERTIFIED,DONE_EXIT_CERTIFIED,NO,YES,NO,NO,PROMOTED_PUBLICATION_SAFE,Primary S&P DJI evidence certifies S&P 500 deletion; half-open exit boundary 2020-12-21. Promoted to historical publication scope.,https://press.spglobal.com/2020-12-11-Tesla-Set-to-Join-S-P-500-100-Apartment-Income-REIT-to-Join-S-P-MidCap-400,2020-12-21,,15,
P0_MANUAL_DEEP_RESEARCH,P0,AL,Alcan Inc.,SP500_SPELL_0047,EXIT_NOT_CERTIFIED;MANUAL_REQUIRED;ENTRY_NOT_CERTIFIED,MANUAL_REVIEW_AND_PART4_EXIT_CERTIFICATION,YES,YES,YES,NO,UNTOUCHED,,,,,1,107
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,ALK,Alaska Air Group Inc,SP500_SPELL_0050,,COMPLETE,NO,YES,NO,NO,PROMOTED_PUBLICATION_SAFE,S&P DJI deletion effective prior to open 2023-12-18; half-open exit date 2023-12-18. Primary index evidence.,https://press.spglobal.com/2023-12-01-Uber-Technologies%2C-Jabil-and-Builders-FirstSource-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,2023-12-18,,7,
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,ALTR,Altera Corp.,SP500_SPELL_0053,,COMPLETE,NO,YES,NO,NO,CERTIFIED_AND_PROMOTED,S&P DJI: Altera deleted after close 2015-12-28; half-open first non-member date 2015-12-29. Intel/SEC confirms acquisition closed 2015-12-28; corporate close kept distinct from index boundary.,https://press.spglobal.com/2015-12-22-Church-Dwight-Set-to-Join-the-S-P-500-SYNNEX-to-Join-S-P-MidCap-400-Greenbrier-to-Join-S-P-SmallCap-600,2015-12-29,https://www.intc.com/filings-reports/all-sec-filings/content/0001193125-15-414642/d105836d8k.htm,5,48
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,AMCC,Applied Micro Circuits Corp.,SP500_SPELL_0057,,COMPLETE,NO,False,NO,NO,PROMOTED_PUBLICATION_SAFE,Exit boundary certified; half-open first non-member date 2006-05-18.,https://www.industryweek.com/finance/software-systems/article/21942199/sprint-spin-off-to-join-sp-500-index,2006-05-18,,4,
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,AMD,"Advanced Micro Devices, Inc.",SP500_SPELL_0059,,COMPLETE,NO,False,NO,NO,PROMOTED_PUBLICATION_SAFE,Exit boundary certified; half-open first non-member date 2013-09-23.,https://press.spglobal.com/2013-09-11-Vertex-Ametek-Set-to-Join-the-S-P-500-Advanced-Micro-Devices-SAIC-to-Join-S-P-MidCap-400-Capstead-to-Join-S-P-SmallCap-600,2013-09-23,,11,
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,AMG,Affiliated Managers Group Inc,SP500_SPELL_0062,,COMPLETE,NO,YES,NO,NO,PROMOTED_PUBLICATION_SAFE,S&P DJI deletion effective prior to open 2019-12-23; half-open exit date 2019-12-23. Primary index evidence.,https://press.spglobal.com/2019-12-13-Live-Nation-Entertainment-Zebra-Technologies-STERIS-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,2019-12-23,,5,
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,AN,"AutoNation, Inc.",SP500_SPELL_0071,,COMPLETE,NO,False,NO,NO,PROMOTED_PUBLICATION_SAFE,S&P DJI: AutoNation removed effective prior to open 2017-08-08; half-open exit date 2017-08-08.,https://press.spglobal.com/2017-07-31-Brighthouse-Financial-Set-to-Join-S-P-500-AutoNation-to-Join-S-P-MidCap-400-FTI-Consulting-to-Join-S-P-SmallCap-600,2017-08-08,,12,
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,ANDW,Andrew Corp.,SP500_SPELL_0073,,COMPLETE,NO,False,NO,NO,PROMOTED_PUBLICATION_SAFE,Exit boundary certified; half-open first non-member date 2006-10-02.,https://br.advfn.com/noticias/PRNUS/2006/artigo/16967077,2006-10-02,,5,
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,ANF,Abercrombie & Fitch Co,SP500_SPELL_0075,,COMPLETE,NO,False,NO,NO,PROMOTED_PUBLICATION_SAFE,Exit boundary certified; half-open first non-member date 2013-12-23.,https://press.spglobal.com/2013-12-11-Facebook-Set-to-Join-the-S-P-100-500-Alliance-Data-Systems-and-Mohawk-to-Join-the-S-P-500-Changes-to-the-S-P-MidCap-400-and-the-S-P-SmallCap-600,2013-12-23,,5,
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,APCC,American Power Conversion Corp,SP500_SPELL_0084,,COMPLETE,NO,False,NO,NO,PROMOTED_PUBLICATION_SAFE,Hudson City Bancorp was added to the S&P 500 on 2007-02-14 replacing American Power Conversion; SEC-filed issuer release confirms Schneider completed the APC acquisition on the same date.,https://www.sec.gov/Archives/edgar/data/835910/000119312507031531/dex991.htm,2007-02-14,https://wikihandbk.com/wiki/%D0%90%D0%BD%D0%B3%D0%BB%D0%B8%D0%B9%D1%81%D0%BA%D0%B0%D1%8F_%D0%92%D0%B8%D0%BA%D0%B8%D0%BF%D0%B5%D0%B4%D0%B8%D1%8F%3AHudson_City_Bancorp,3,
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,APOL,Apollo Education Group,SP500_SPELL_0088,EXIT_NOT_CERTIFIED,DONE_EXIT_CERTIFIED,NO,YES,NO,NO,PROMOTED_PUBLICATION_SAFE,Primary S&P DJI evidence certifies S&P 500 deletion; half-open exit boundary 2013-07-01. Promoted to historical publication scope.,https://press.spglobal.com/2013-06-20-News-Corp-Set-to-Join-S-P-500-Mallinckrodt-Apollo-to-Join-S-P-MidCap-400-Forest-Oil-Tesco-to-Join-S-P-SmallCap-600,2013-07-01,,4,
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,ASN,Archstone-Smith Trust,SP500_SPELL_0100,,COMPLETE,NO,False,NO,NO,PROMOTED_PUBLICATION_SAFE,Exit boundary certified; half-open first non-member date 2007-10-08.,https://www.rttnews.com/393278/noble-energy-to-replace-archstone-smith-trust-in-s-p-500-quick-facts.aspx,2007-10-08,https://www.chron.com/business/article/around-the-region-1614439.php,2,
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,AT,Alltel Corp,SP500_SPELL_0103,EXIT_NOT_CERTIFIED,FINAL_P1_HOLD_EXACT_S&P_BOUNDARY_UNRESOLVED,NO,YES,NO,NO,FINAL_P1_HOLD_EXACT_BOUNDARY_UNRESOLVED,Final P1 research pass completed; exact S&P-effective exit boundary remains unproven without inference. Remains quarantined.,,,,6,28
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,AV,Avaya Inc.,SP500_SPELL_0108,EXIT_NOT_CERTIFIED,FINAL_P1_HOLD_EXACT_S&P_BOUNDARY_UNRESOLVED,NO,YES,NO,NO,FINAL_P1_HOLD_EXACT_BOUNDARY_UNRESOLVED,Final P1 research pass completed; exact S&P-effective exit boundary remains unproven without inference. Remains quarantined.,,,,5,53
P0_MANUAL_DEEP_RESEARCH,P0,AVP,Avon Products Inc,SP500_SPELL_0111,EXIT_NOT_CERTIFIED;MANUAL_REQUIRED;ENTRY_NOT_CERTIFIED,MANUAL_REVIEW_AND_PART4_EXIT_CERTIFICATION,YES,YES,YES,NO,UNTOUCHED,,,,,6,30
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,AW,Allied Waste Industries Inc.,SP500_SPELL_0113,,COMPLETE,NO,False,NO,NO,PROMOTED_PUBLICATION_SAFE,Exact exit boundary certified; first non-member date 2008-12-04.,https://www.advfn.com/stock-market/NYSE/MSC/stock-news/29546891/standard-poors-announces-changes-to-u-s-indices,2008-12-04,,5,
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,AWE,AT&T Wireless,SP500_SPELL_0114,EXIT_NOT_CERTIFIED,FINAL_P1_HOLD_EXACT_S&P_BOUNDARY_UNRESOLVED,NO,YES,NO,NO,FINAL_P1_HOLD_EXACT_BOUNDARY_UNRESOLVED,Final P1 research pass completed; exact S&P-effective exit boundary remains unproven without inference. Remains quarantined.,,,,2,91
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,AYE,Allegheny Energy Inc.,SP500_SPELL_0118,EXIT_NOT_CERTIFIED,FINAL_P1_HOLD_EXACT_S&P_BOUNDARY_UNRESOLVED,NO,YES,NO,NO,FINAL_P1_HOLD_EXACT_BOUNDARY_UNRESOLVED,Final P1 research pass completed; exact S&P-effective exit boundary remains unproven without inference. Remains quarantined.,,,,5,47
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,AYI,Acuity Brands Inc,SP500_SPELL_0119,EXIT_NOT_CERTIFIED,DONE_EXIT_CERTIFIED,NO,YES,NO,NO,PROMOTED_PUBLICATION_SAFE,Primary S&P DJI evidence certifies S&P 500 deletion; half-open exit boundary 2018-06-18. Promoted to historical publication scope.,https://press.spglobal.com/2018-06-08-HollyFrontier-Broadridge-Financial-Solutions-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,2018-06-18,,2,
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,AZA.A,ALZA Corp.,SP500_SPELL_0120,EXIT_NOT_CERTIFIED,FINAL_P1_HOLD_EXACT_S&P_BOUNDARY_UNRESOLVED,NO,YES,NO,NO,FINAL_P1_HOLD_EXACT_BOUNDARY_UNRESOLVED,Final P1 research pass completed; exact S&P-effective exit boundary remains unproven without inference. Remains quarantined.,,,,1,115
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,BBBY,Bed Bath & Beyond Inc,SP500_SPELL_0126,,COMPLETE,NO,False,NO,NO,PROMOTED_PUBLICATION_SAFE,S&P DJI: Bed Bath & Beyond removed effective prior to open 2017-07-26; half-open exit date 2017-07-26.,https://press.spglobal.com/2017-07-19-MGM-Resorts-ResMed-Packaging-Corporation-of-America-A-O-Smith-and-Duke-Realty-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400,2017-07-26,,8,
P0_MANUAL_DEEP_RESEARCH,P0,BC,Brunswick Corporation,SP500_SPELL_0130,EXIT_NOT_CERTIFIED;MANUAL_REQUIRED;ENTRY_NOT_CERTIFIED,MANUAL_REVIEW_AND_PART4_EXIT_CERTIFICATION,YES,YES,YES,NO,UNTOUCHED,,,,,6,22
P0_MANUAL_DEEP_RESEARCH,P0,BCR,C. R. Bard Inc,SP500_SPELL_0132,EXIT_NOT_CERTIFIED;MANUAL_REQUIRED;ENTRY_NOT_CERTIFIED,MANUAL_REVIEW_AND_PART4_EXIT_CERTIFICATION,YES,YES,YES,NO,UNTOUCHED,,,,,7,14
P0_MANUAL_DEEP_RESEARCH,P0,BDK,Black & Decker Manufacturing,SP500_SPELL_0133,EXIT_NOT_CERTIFIED;MANUAL_REQUIRED;ENTRY_NOT_CERTIFIED,MANUAL_REVIEW_AND_PART4_EXIT_CERTIFICATION,YES,YES,YES,NO,UNTOUCHED,,,,,3,71
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,BGEN,Biogen NV,SP500_SPELL_0142,,COMPLETE,NO,False,NO,NO,PROMOTED_PUBLICATION_SAFE,Exact exit boundary certified; first non-member date 2003-11-13.,https://www.advfn.com/stock-market/NASDAQ/BGEN/stock-news/6667261/standard-poors-announces-changes-to-s-p-u-s-ind,2003-11-13,,2,
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,BHF,Brighthouse Financial Inc,SP500_SPELL_0144,,COMPLETE,NO,False,NO,NO,PROMOTED_PUBLICATION_SAFE,S&P DJI: Brighthouse Financial removed effective prior to open 2019-04-03; corrected prior 2019-04-02 candidate to certified half-open exit date 2019-04-03.,https://press.spglobal.com/2019-03-26-Dow-Set-to-Join-S-P-500-and-S-P-100-Brighthouse-Financial-and-Trex-Company-to-Join-S-P-MidCap-400-Pitney-Bowes-and-Xenia-Hotels-Resorts-to-Join-S-P-SmallCap-600,2019-04-03,,2,
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,BHI,Baker Hughes Inc.,SP500_SPELL_0145,EXIT_NOT_CERTIFIED,FINAL_P1_HOLD_EXACT_S&P_BOUNDARY_UNRESOLVED,NO,YES,NO,NO,FINAL_P1_HOLD_EXACT_BOUNDARY_UNRESOLVED,Final P1 research pass completed; exact S&P-effective exit boundary remains unproven without inference. Remains quarantined.,,,,6,29
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,BIG,Big Lots Inc.,SP500_SPELL_0147,EXIT_NOT_CERTIFIED,FINAL_P1_HOLD_EXACT_S&P_BOUNDARY_UNRESOLVED,NO,YES,NO,NO,FINAL_P1_HOLD_EXACT_BOUNDARY_UNRESOLVED,Final P1 research pass completed; exact S&P-effective exit boundary remains unproven without inference. Remains quarantined.,,,,4,60
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,BIO,Bio-Rad Laboratories,SP500_SPELL_0149,,COMPLETE,NO,False,NO,NO,PROMOTED_PUBLICATION_SAFE,S&P DJI: Bio-Rad Laboratories deleted effective prior to open 2024-09-23; half-open exit date 2024-09-23.,https://press.spglobal.com/2024-09-06-Palantir-Technologies%2C-Dell-Technologies%2C-and-Erie-Indemnity-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,2024-09-23,,4,
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,BJS,BJ Services Co.,SP500_SPELL_0150,EXIT_NOT_CERTIFIED,FINAL_P1_HOLD_EXACT_S&P_BOUNDARY_UNRESOLVED,NO,YES,NO,NO,FINAL_P1_HOLD_EXACT_BOUNDARY_UNRESOLVED,Final P1 research pass completed; exact S&P-effective exit boundary remains unproven without inference. Remains quarantined.,,,,6,23
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,BLS,BellSouth Corp.,SP500_SPELL_0157,,COMPLETE,NO,False,NO,NO,PROMOTED_PUBLICATION_SAFE,Exit boundary certified; half-open first non-member date 2007-01-04.,https://www.advfn.com/stock-market/NYSE/BLS/stock-news/18620245/standard-poors-announces-changes-to-u-s-indices,2007-01-04,,4,
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,BMC,BMC Software Inc,SP500_SPELL_0159,,COMPLETE,NO,False,NO,NO,PROMOTED_PUBLICATION_SAFE,S&P DJI: BMC Software deleted after close 2013-09-10; first non-member trading day / half-open exit date 2013-09-11.,https://press.spglobal.com/2013-09-06-Delta-Air-Lines-Set-to-Join-the-S-P-500,2013-09-11,,6,
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,BMET,Biomet Inc.,SP500_SPELL_0160,,COMPLETE,NO,False,NO,NO,PROMOTED_PUBLICATION_SAFE,Exit boundary certified; half-open first non-member date 2007-07-12.,https://br.advfn.com/noticias/PRNUS/2007/artigo/21358115,2007-07-12,,3,
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,BMS,Bemis Company Inc,SP500_SPELL_0162,,COMPLETE,NO,False,NO,NO,PROMOTED_PUBLICATION_SAFE,Exit boundary certified; half-open first non-member date 2014-12-05.,https://press.spglobal.com/2014-12-01-Royal-Caribbean-Cruises-Set-to-Join-the-S-P-500-Bemis-Tyler-Technologies-to-Join-the-S-P-MidCap-400-Montpelier-Re-to-Join-S-P-SmallCap-600,2014-12-05,,5,
P0_MANUAL_DEEP_RESEARCH,P0,BNI,Burlington Northern Santa Fe Corp,SP500_SPELL_0164,EXIT_NOT_CERTIFIED;MANUAL_REQUIRED;ENTRY_NOT_CERTIFIED,MANUAL_REVIEW_AND_PART4_EXIT_CERTIFICATION,YES,YES,YES,NO,UNTOUCHED,,,,,8,7
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,BOL,Bausch & Lomb Inc.,SP500_SPELL_0168,EXIT_NOT_CERTIFIED,FINAL_P1_HOLD_EXACT_S&P_BOUNDARY_UNRESOLVED,NO,YES,NO,NO,FINAL_P1_HOLD_EXACT_BOUNDARY_UNRESOLVED,Final P1 research pass completed; exact S&P-effective exit boundary remains unproven without inference. Remains quarantined.,,,,6,31
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,BRCM,Broadcom Corp.,SP500_SPELL_0171,EXIT_NOT_CERTIFIED,DONE_EXIT_CERTIFIED,NO,YES,NO,NO,PROMOTED_PUBLICATION_SAFE,Primary S&P DJI evidence certifies S&P 500 deletion; half-open exit boundary 2016-02-01. Promoted to historical publication scope.,https://press.spglobal.com/2016-01-22-Federal-Realty-Investment-Trust-Set-to-Join-the-S-P-500-Curtiss-Wright-Pool-to-Join-S-P-MidCap-400-Cray-Asbury-Automotive-to-Join-S-P-SmallCap-600,2016-02-01,,7,
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,BSC,Bear Stearns Co,SP500_SPELL_0175,EXIT_NOT_CERTIFIED,FINAL_P1_HOLD_EXACT_S&P_BOUNDARY_UNRESOLVED,NO,YES,NO,NO,FINAL_P1_HOLD_EXACT_BOUNDARY_UNRESOLVED,Final P1 research pass completed; exact S&P-effective exit boundary remains unproven without inference. Remains quarantined.,,,,3,70
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,BWA,BorgWarner,SP500_SPELL_0181,,COMPLETE,NO,YES,NO,NO,PROMOTED_PUBLICATION_SAFE,S&P DJI deletion effective prior to open 2025-03-24; half-open exit date 2025-03-24. Primary index evidence.,https://press.spglobal.com/2025-03-07-DoorDash%2C-TKO-Group-Holdings%2C-Williams-Sonoma-and-Expand-Energy-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400-and-S-P-SmallCap-600,2025-03-24,,14,
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,CA,CA Inc,SP500_SPELL_0186,,COMPLETE,NO,False,NO,NO,PROMOTED_PUBLICATION_SAFE,Exit boundary certified; half-open first non-member date 2018-11-06.,https://press.spglobal.com/2018-10-30-Keysight-Technologies-Set-to-Join-S-P-500-Ligand-Pharmaceuticals-to-Join-S-P-MidCap-400-Marcus-Millichap-and-Arcosa-to-Join-S-P-SmallCap-600,2018-11-06,,7,
P0_MANUAL_DEEP_RESEARCH,P0,CAR,"Avis Budget Group, Inc.",SP500_SPELL_0191,EXIT_NOT_CERTIFIED;MANUAL_REQUIRED;ENTRY_NOT_CERTIFIED,MANUAL_REVIEW_AND_PART4_EXIT_CERTIFICATION,YES,YES,YES,NO,UNTOUCHED,,,,,5,33
P0_MANUAL_DEEP_RESEARCH,P0,CBS,CBS Corp.,SP500_SPELL_0202,EXIT_NOT_CERTIFIED;MANUAL_REQUIRED;ENTRY_NOT_CERTIFIED,MANUAL_REVIEW_AND_PART4_EXIT_CERTIFICATION,YES,YES,YES,NO,UNTOUCHED,,,,,2,99
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,CBSS,Compass Bancshares Inc,SP500_SPELL_0203,,COMPLETE,NO,False,NO,NO,PROMOTED_PUBLICATION_SAFE,Exit boundary certified; half-open first non-member date 2007-09-10.,https://www.rttnews.com/amp/376789/microchip-tech-to-replace-compass-bancshares-in-s-p-500-quick-facts.aspx,2007-09-10,,1,
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,CCTYQ,"Circuit City Stores, Inc.",SP500_SPELL_0211,,COMPLETE,NO,False,NO,NO,PROMOTED_PUBLICATION_SAFE,Exit boundary certified; half-open first non-member date 2008-03-31.,https://br.advfn.com/bolsa-de-valores/nyse/ATI/share-news/25400504/standard-poors-announces-changes-to-u-s-indices,2008-03-31,,3,
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,CE,Celanese,SP500_SPELL_0217,,COMPLETE,NO,YES,NO,NO,PROMOTED_PUBLICATION_SAFE,S&P DJI deletion effective prior to open 2025-03-24; half-open exit date 2025-03-24. Primary index evidence.,https://press.spglobal.com/2025-03-07-DoorDash%2C-TKO-Group-Holdings%2C-Williams-Sonoma-and-Expand-Energy-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400-and-S-P-SmallCap-600,2025-03-24,,7,
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,CFC,Countrywide Financial Corp.,SP500_SPELL_0226,,COMPLETE,NO,False,NO,NO,PROMOTED_PUBLICATION_SAFE,Exit boundary certified; half-open first non-member date 2008-07-01.,https://www.advfn.com/stock-market/NYSE/CFC/stock-news/27071045/standard-poors-announces-change-to-u-s-index,2008-07-01,,5,
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,CHIR,Chiron Corp.,SP500_SPELL_0234,,COMPLETE,NO,False,NO,NO,PROMOTED_PUBLICATION_SAFE,Exit boundary certified; half-open first non-member date 2006-04-20.,https://www.advfn.com/stock-market/NASDAQ/CHIR/stock-news/15014720/standard-poors-announces-changes-to-u-s-indices,2006-04-20,,5,
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,CHK,Chesapeake Energy Corp,SP500_SPELL_0235,EXIT_NOT_CERTIFIED,DONE_EXIT_CERTIFIED,NO,YES,NO,NO,PROMOTED_PUBLICATION_SAFE,Primary S&P DJI evidence certifies S&P 500 deletion; half-open exit boundary 2018-03-19. Promoted to historical publication scope.,https://press.spglobal.com/2018-03-09-Take-Two-Interactive-Software-SVB-Financial-and-Nektar-Pharmaceuticals-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,2018-03-19,,11,
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,CIEN,Ciena Corp.,SP500_SPELL_0240,,COMPLETE,NO,False,NO,NO,PROMOTED_PUBLICATION_SAFE,Exit boundary certified; half-open first non-member date 2009-12-21.,https://br.advfn.com/noticias/DJN/2009/artigo/40740649,2009-12-21,,7,
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,CITGQ,CIT Group Inc,SP500_SPELL_0245,,COMPLETE,NO,False,NO,NO,PROMOTED_PUBLICATION_SAFE,Exit boundary certified; half-open first non-member date 2009-07-27.,https://uk.marketscreener.com/quote/stock/RED-HAT-38908/news/RED-HAT-Standard-Poor-s-Announces-Change-to-U-S-Index-13213147/,2009-07-27,,3,
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,CMA,Comerica Incorporated,SP500_SPELL_0249,,COMPLETE,NO,YES,NO,NO,PROMOTED_PUBLICATION_SAFE,S&P DJI deletion effective prior to open 2024-06-24; half-open exit date 2024-06-24. Primary index evidence.,https://press.spglobal.com/2024-06-07-KKR%2C-CrowdStrike-Holdings-and-GoDaddy-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,2024-06-24,,7,
