cn|company_name|founded_year|founded_month|source_url
08169000|United Biscuits|1948||https://www.referenceforbusiness.com/history2/48/United-Biscuits-Holdings-plc.html
10681760|London Electricity|1948|April|https://en.wikipedia.org/wiki/London_Electricity_Board
03613919|The Energy Group|1948||https://en.wikipedia.org/wiki/Eastern_Electricity
SC212093|Stagecoach Holdings|1980|April|https://en.wikipedia.org/wiki/Stagecoach_Group
09909999|Cable & Wireless Communications|1869||https://en.wikipedia.org/wiki/Cable_%26_Wireless_plc
04120344|Whitbread|1742||https://en.wikipedia.org/wiki/Whitbread
16351760|Northern Rock|1965||https://en.wikipedia.org/wiki/Northern_Rock
06534088|Carphone Warehouse|1989||https://en.wikipedia.org/wiki/Carphone_Warehouse
10517727|Enterprise Inns|1991||https://en.wikipedia.org/wiki/Ei_Group
16051356|Petrofac|1981|February|https://en.wikipedia.org/wiki/Petrofac
03477402|Reuters|1851|October|https://en.wikipedia.org/wiki/Reuters
04452715|Alliance Boots|1849||https://en.wikipedia.org/wiki/Boots_(company)
16133984|Aberdeen Asset Management|1983||https://en.wikipedia.org/wiki/Aberdeen_Asset_Management
11775757|Sports Direct International|1982||https://en.wikipedia.org/wiki/Sports_Direct
04212563|William Hill|1934||https://en.wikipedia.org/wiki/William_Hill_(bookmaker)
SC246627|Ferguson|1887||https://en.wikipedia.org/wiki/Wolseley_plc
07712220|NMC Health|1975||https://en.wikipedia.org/wiki/NMC_Health
08811254|British Gas|1812|April|https://en.wikipedia.org/wiki/Gas_Light_and_Coke_Company
09399778|British Sky Broadcasting|1990|November|https://en.wikipedia.org/wiki/Sky_UK
05134420|IHG Hotels & Resorts|1946||https://en.wikipedia.org/wiki/InterContinental
09800044|Melrose Industries|2003||https://en.wikipedia.org/wiki/Melrose_Industries
03224867|Polar Capital Technology Trust|1996|December|https://en.wikipedia.org/wiki/Polar_Capital_Technology_Trust
|Ranks Hovis McDougall|1875||https://en.wikipedia.org/wiki/Rank_Hovis_McDougall
|Ultramar|1935||https://en.wikipedia.org/wiki/Ultramar_plc
|Distillers Company|1877||https://en.wikipedia.org/wiki/The_Distillers_Company
|Lucas Industries|1875||https://en.wikipedia.org/wiki/Lucas_Industries
|Globe Investment Trust|1873||https://en.wikipedia.org/wiki/Globe_Investment_Trust
|Rowntree|1862||https://en.wikipedia.org/wiki/Rowntree%27s
|Storehouse|1986||https://en.wikipedia.org/wiki/Storehouse_plc
|BPB Industries|1917||https://en.wikipedia.org/wiki/BPB_plc
|Maxwell Communications|1964||https://www.fundinguniverse.com/company-histories/maxwell-communication-corporation-plc-history/
|MB-Caradon|1921||https://www.gracesguide.co.uk/Metal_Box_Co
|Mercury Asset Management|1969||https://en.wikipedia.org/wiki/Mercury_Asset_Management
|Misys|1979||https://www.encyclopedia.com/social-sciences-and-law/economics-business-and-labor/businesses-and-occupations/misys-plc
|BTR|1924||https://en.wikipedia.org/wiki/BTR_plc
|Guardian Royal Exchange PLC|1720||https://en.wikipedia.org/wiki/Royal_Exchange_Assurance_Corporation
|Kingston Communications|1904||https://www.kcom.com/about-us/history/
|Baltimore Technologies|1976||https://en.wikipedia.org/wiki/Baltimore_Technologies
|Granada Compass|1930||https://en.wikipedia.org/wiki/Granada_plc
|Autonomy Corporation|1996||https://en.wikipedia.org/wiki/Autonomy_Corporation
|Innogy Holdings|1990||https://en.wikipedia.org/wiki/National_Power
|Brambles Industries|1875||https://www.brambles.com/our-history
|Provident Financial|1880||https://en.wikipedia.org/wiki/Provident_Financial
|Cobham|1934|October|https://en.wikipedia.org/wiki/Cobham_Limited
|African Barrick Gold|2010||https://en.wikipedia.org/wiki/Acacia_Mining
|Friends Provident|1832||https://en.wikipedia.org/wiki/Friends_Provident
|Berkeley Group Holdings|1976||https://en.wikipedia.org/wiki/Berkeley_Group_Holdings
|Dixons Carphone|1937||https://en.wikipedia.org/wiki/Dixons_(retailer)
|TUI AG|1923|October|https://en.wikipedia.org/wiki/TUI_Group
|Foreign & Colonial|1868||https://en.wikipedia.org/wiki/F_%26_C_Investment_Trust
|Glencore|1974||https://en.wikipedia.org/wiki/Glencore
|Coca-Cola HBC AG|1969||https://en.wikipedia.org/wiki/Coca-Cola_HBC
|Eagle Star|1904||https://en.wikipedia.org/wiki/Eagle_Star_Insurance
|Imperial Continental Gas Ass.|1824||https://en.wikipedia.org/wiki/Imperial_Continental_Gas_Association
|Ferranti International|1885||https://en.wikipedia.org/wiki/Ferranti
|Unigate|1915||https://en.wikipedia.org/wiki/United_Dairies
|Consolidated Gold Fields|1887||https://www.encyclopedia.com/books/politics-and-business-magazines/gold-fields-ltd
|Plessey Co|1917||https://en.wikipedia.org/wiki/Plessey
|STC|1883||https://en.wikipedia.org/wiki/Standard_Telephones_and_Cables
|Tarmac|1903|June|https://en.wikipedia.org/wiki/Tarmac_Group
|Midland Bank|1836|August|https://en.wikipedia.org/wiki/Midland_Bank
|BET|1896||https://en.wikipedia.org/wiki/British_Electric_Traction
|TSB Group|1810||https://en.wikipedia.org/wiki/Trustee_Savings_Bank
|Forte plc|1935||https://en.wikipedia.org/wiki/Forte_Group
|Sun Alliance Group plc|1710|April|https://en.wikipedia.org/wiki/Sun_Insurance
|Burmah Castrol|1886||https://en.wikipedia.org/wiki/Burmah_Oil
|Blue Circle Industries|1900||https://en.wikipedia.org/wiki/Blue_Circle_Industries
|TI Group|1919|July|https://en.wikipedia.org/wiki/TI_Group
|Halifax|1853||https://en.wikipedia.org/wiki/Halifax_(bank)
|United News & Media|1918||https://www.referenceforbusiness.com/history2/0/United-News-Media-plc.html
|Ladbrokes|1886||https://en.wikipedia.org/wiki/Ladbrokes_Coral
|Resolution|2004||https://en.wikipedia.org/wiki/Resolution_plc
|Hikma Pharmaceuticals|1978||https://en.wikipedia.org/wiki/Hikma_Pharmaceuticals
|Worldpay Group|1997||https://en.wikipedia.org/wiki/Worldpay_Group
|Dee Corporation|1975||https://www.gracesguide.co.uk/Linfood_Holdings
|Wimpey (George) & Co|1880||https://en.wikipedia.org/wiki/George_Wimpey
|MFI Furniture|1964||https://en.wikipedia.org/wiki/MFI_(retailer)
|Dowty Group|1931||https://en.wikipedia.org/wiki/Dowty_Group
|Debenhams|1778||https://en.wikipedia.org/wiki/Debenhams
|British & Commonwealth|1955||https://en.wikipedia.org/wiki/British_and_Commonwealth_Holdings
|IC Gas|1824||https://en.wikipedia.org/wiki/Imperial_Continental_Gas_Association
|Willis Corroon|1828||https://www.fundinguniverse.com/company-histories/willis-corroon-group-plc-history/
|Kwik Save Group|1959|May|https://en.wikipedia.org/wiki/Kwik_Save
|Eastern Group|1948||https://en.wikipedia.org/wiki/Eastern_Electricity
|Burton Group plc|1903||https://en.wikipedia.org/wiki/Burton_(retailer)
|Hanson|1964||https://en.wikipedia.org/wiki/Hanson_Trust_plc
|Bookham Technology|1988||https://en.wikipedia.org/wiki/Andrew_Rickman
|Electrocomponents|1937||https://en.wikipedia.org/wiki/RS_Group_plc
|DSG International|1937|October|https://en.wikipedia.org/wiki/Charles_Kalms
|Lonmin|1909|May|https://en.wikipedia.org/wiki/Lonmin
|First Group|1995|April|https://en.wikipedia.org/wiki/FirstGroup
|Amlin|1998|September|https://en.wikipedia.org/wiki/Amlin
|ICAP|1986||https://en.wikipedia.org/wiki/NEX_Group
|BG Group|1948||https://en.wikipedia.org/wiki/British_Gas
|Old Mutual|1845||https://en.wikipedia.org/wiki/Old_Mutual
|Randgold Resources|1995||https://en.wikipedia.org/wiki/Randgold_Resources
|Abrdn|1825||https://en.wikipedia.org/wiki/Abrdn
|Paddy Power Betfair|1988||https://en.wikipedia.org/wiki/Paddy_Power
|Smurfit Kappa Group|1934||https://www.smurfitkappa.com/about/our-history
|B8M European Value Retail|1978||https://en.wikipedia.org/wiki/B%26M
|Charterhouse J Rothschild|1983||https://en.wikipedia.org/wiki/Jacob_Rothschild,_4th_Baron_Rothschild
|British Printing &|1964||https://www.gracesguide.co.uk/British_Printing_Corporation
|Eastern Electricity|1948||https://en.wikipedia.org/wiki/Eastern_Electricity
|Energy Group|1948||https://en.wikipedia.org/wiki/Eastern_Electricity
|Sun Life & Provincial|1810|March|https://www.sunlife.co.uk/history/
|Scottish & Southern Energy|1998|December|https://en.wikipedia.org/wiki/SSE_plc
|Pershing Square Holdings|2004|January|https://en.wikipedia.org/wiki/Pershing_Square_Capital_Management
|Hambro Life|1971||https://en.wikipedia.org/wiki/Allied_Dunbar
|British Home Stores|1928|April|https://en.wikipedia.org/wiki/British_Home_Stores
|Exco International|1965||https://en.wikipedia.org/wiki/Exco_International
|Williams Holdings|1982||https://en.wikipedia.org/wiki/Williams_Holdings
|Coats Viyella|1755||https://en.wikipedia.org/wiki/Coats_Group
|Gateway Corporation|1875||https://www.encyclopedia.com/books/politics-and-business-magazines/gateway-corporation-ltd
|Siebe|1819||https://en.wikipedia.org/wiki/Siebe_plc
|Taylor Woodrow|1921||https://en.wikipedia.org/wiki/Taylor_Woodrow
|Laporte|1888||https://en.wikipedia.org/wiki/Laporte_plc
|Warburg S.G.|1946||https://en.wikipedia.org/wiki/S._G._Warburg_%26_Co.
|Rank Group|1937|April|https://en.wikipedia.org/wiki/The_Rank_Organisation
|Colt Telecom Group|1992||https://en.wikipedia.org/wiki/Colt_Technology_Services
|Alliance Unichem|1997||https://en.wikipedia.org/wiki/Alliance_Boots
|GUS|1900||https://en.wikipedia.org/wiki/Great_Universal_Stores
|Partygaming|1997||https://en.wikipedia.org/wiki/PartyGaming
|Invesco Plc|1978||https://en.wikipedia.org/wiki/Invesco
|Man Group|1783||https://en.wikipedia.org/wiki/Man_Group
|Eurasian Natural Resources|1994||https://en.wikipedia.org/wiki/Eurasian_Natural_Resources_Corporation
|Polymetal International|1998||https://en.wikipedia.org/wiki/Polymetal_International
|GVC Holdings|2004||https://en.wikipedia.org/wiki/GVC_Holdings
|CRH|1936||https://en.wikipedia.org/wiki/CRH_plc
|Unite Group|1991||https://en.wikipedia.org/wiki/Unite_Group
|Amstrad Consumer|1968|November|https://en.wikipedia.org/wiki/Amstrad
|Polly Peck International|1940||https://en.wikipedia.org/wiki/Polly_Peck
|Foreign & Colonial Invest|1868||https://en.wikipedia.org/wiki/Foreign_%26_Colonial_Investment_Trust
|Billiton|1860|September|https://en.wikipedia.org/wiki/Billiton
|South African Breweries|1895||https://en.wikipedia.org/wiki/South_African_Breweries
