symbol,cik,company_name,founded_year,founded_month,founded_date,founded_source_url,legal_entity_founded_year,confidence,audit_status
AIV,922864,APARTMENT INVESTMENT & MANAGEMENT CO,1975.0,,,https://en.wikipedia.org/wiki/Aimco,,verified,VERIFIED
AIZ,1267238,Assurant,1892.0,,,https://www.forbes.com/companies/assurant/,,verified,VERIFIED
AJG,354190,Arthur J. Gallagher & Co.,1927.0,October,,https://www.ajg.com/us/-/media/files/us/about-us/gallagher-sustainability-report.pdf,,verified,VERIFIED
AKAM,1086222,Akamai Technologies,1998.0,August,,https://www.akamai.com/company/leadership/executive-team/tom-leighton,,verified,VERIFIED
AKS,918160,,1899.0,,,https://en.wikipedia.org/wiki/AK_Steel,,verified,VERIFIED
AL,4285,Alcan Inc.,1902.0,,,https://en.wikipedia.org/wiki/Alcan,,verified,VERIFIED
ALB,915913,Albemarle Corporation,1994.0,February,,https://en.wikipedia.org/wiki/Albemarle_Corporation,,verified,VERIFIED
ALGN,1097149,Align Technology,1997.0,,,https://en.wikipedia.org/wiki/Align_Technology,,verified,VERIFIED
ALK,766421,"ALASKA AIR GROUP, INC.",1932.0,April,,https://en.wikipedia.org/wiki/Alaska_Airlines,,verified,VERIFIED
ALL,899051,Allstate,1931.0,,,https://en.wikipedia.org/wiki/Allstate,,verified,VERIFIED
ALLE,1579241,Allegion,1908.0,,,,2013.0,business_kept_holdco_separated,VERIFIED_CORRECTED
ALTR,768251,,1983.0,,,https://en.wikipedia.org/wiki/Altera,,verified,VERIFIED
ALXN,899866,,1992.0,,,https://en.wikipedia.org/wiki/Alexion_Pharmaceuticals,,verified,VERIFIED
AM,1623925,Antero Midstream Corp,2013.0,,,https://www.sec.gov/Archives/edgar/data/1623925/000130817926000332/am014930-def14a.htm,,verified,VERIFIED
AMAT,6951,Applied Materials,1967.0,,,https://ir.appliedmaterials.com/static-files/5b4abd79-db7d-4a46-93e9-57f475623cf1,,verified,VERIFIED
AMCC,711065,,1979.0,,,https://en.wikipedia.org/wiki/Applied_Micro_Circuits_Corporation,,verified,VERIFIED
AMCR,1748790,Amcor,1860.0,,,https://en.wikipedia.org/wiki/Amcor,1896.0,business_kept_holdco_separated,VERIFIED_CORRECTED
AMD,2488,Advanced Micro Devices,1969.0,,,https://www.amd.com/content/dam/amd/en/documents/corporate/cr/amd-cr2019-global.pdf,,verified,VERIFIED
AME,1037868,Ametek,1930.0,,,https://en.wikipedia.org/wiki/Ametek,,verified,VERIFIED
AMG,1004434,"AFFILIATED MANAGERS GROUP, INC.",1993.0,December,,https://en.wikipedia.org/wiki/Affiliated_Managers_Group,,verified,VERIFIED
AMGN,318154,Amgen,1980.0,April,,https://www.amgen.com/about/amgen-history,,verified,VERIFIED
AMH,1562401,American Homes 4 Rent,2012.0,October,,https://www.sec.gov/Archives/edgar/data/1562401/000156240118000029/amh12311710k.htm,,verified,VERIFIED
AMP,820027,Ameriprise Financial,1894.0,,,https://www.ameriprise.com/about/our-company,,verified,VERIFIED
AMT,1053507,American Tower,1995.0,,,https://en.wikipedia.org/wiki/American_Tower,,verified,VERIFIED
AMTM,2011286,"Amentum Holdings, Inc.",2020.0,February,,https://en.wikipedia.org/wiki/Amentum_Holdings,,verified,VERIFIED
AMZN,1018724,Amazon,1994.0,,,https://www.investopedia.com/amazon-stock-amzn-5094245,,verified,VERIFIED
AN,350698,"AUTONATION, INC.",1996.0,,,https://en.wikipedia.org/wiki/AutoNation,,verified,VERIFIED
ANDV,50104,,1968.0,,,https://en.wikipedia.org/wiki/Tesoro_Corporation,,verified,VERIFIED
ANDW,317093,Andrew Corporation,1937.0,January,,https://en.wikipedia.org/wiki/Andrew_Corporation,,verified,VERIFIED
ANET,1596532,Arista Networks,2004.0,,,,2008.0,business_kept_holdco_separated,VERIFIED_CORRECTED
ANF,1018840,ABERCROMBIE & FITCH CO /DE/,1892.0,,,https://en.wikipedia.org/wiki/Abercrombie_%26_Fitch,,verified,VERIFIED
ANRZQ,1301063,,2002.0,,,https://en.wikipedia.org/wiki/Alpha_Natural_Resources,,verified,VERIFIED
ANSS,1013462,,1970.0,,,https://en.wikipedia.org/wiki/Ansys,,verified,VERIFIED
ANTM,1156039,,1946.0,,,https://en.wikipedia.org/wiki/Elevance_Health,,verified,VERIFIED
ANV,,Allied Nevada Gold Corp,2006.0,September,,https://www.sec.gov/Archives/edgar/data/1376610/000119312508008886/ds1.htm,,verified,VERIFIED
AON,315293,Aon plc,1982.0,,,https://en.wikipedia.org/wiki/Aon_(company),,verified,VERIFIED
AOS,91142,A. O. Smith,1874.0,,,https://en.wikipedia.org/wiki/A._O._Smith,,corrected_earlier,VERIFIED_CORRECTED
APA,1841666,APA Corporation,1954.0,,,,2021.0,business_kept_holdco_separated,VERIFIED_CORRECTED
APC,2080921,ARKO Petroleum Corp.,2003.0,,,https://simplywall.st/stocks/us/retail/nasdaq-apc/arko-petroleum/information,2025.0,business_kept_holdco_separated,VERIFIED_CORRECTED
APCC,835910,,1981.0,,,https://www.sec.gov/Archives/edgar/data/835910/000104746905006806/a2153699z10-k.htm,,verified,VERIFIED
APD,2969,Air Products,1940.0,,,https://www.sec.gov/Archives/edgar/data/2969/000000296925000055/apd-20250930.htm,,verified,VERIFIED
APH,820313,Amphenol,1932.0,,,https://www.amphenol.com/docs/annual-report,,verified,VERIFIED
APO,1858681,Apollo Global Management,1990.0,,,https://www.apollo.com/content/dam/apolloaem/documents/governance/Apollo%20Impact%20Platform%20Disclosure%20Statement%20October%202023%20.pdf,,verified,VERIFIED
APOL,929887,,1973.0,,,https://en.wikipedia.org/wiki/Apollo_Education_Group,,corrected_earlier,VERIFIED_CORRECTED
APP,1751008,AppLovin,2012.0,,,https://www.applovin.com/en/about,,verified,VERIFIED
APTV,1521332,Aptiv,1994.0,,,https://en.wikipedia.org/wiki/Aptiv,,verified,VERIFIED
AR,1433270,ANTERO RESOURCES Corp,2002.0,,,https://en.wikipedia.org/wiki/Antero_Resources,,verified,VERIFIED
ARC,,Atlantic Richfield (ARCO),1966.0,January,,https://en.wikipedia.org/wiki/ARCO,,verified,VERIFIED
ARE,1035443,Alexandria Real Estate Equities,1994.0,,,https://en.wikipedia.org/wiki/Alexandria_Real_Estate_Equities,,verified,VERIFIED
ARES,1176948,Ares Management,1977.0,,,,1997.0,business_kept_holdco_separated,VERIFIED_CORRECTED
ARG,804212,,1982.0,,,https://en.wikipedia.org/wiki/Airgas,,verified,VERIFIED
ARNC,4281,Arconic (formerly Alcoa),1888.0,,,https://en.wikipedia.org/wiki/Alcoa,,verified,VERIFIED
AS,1988894,"Amer Sports, Inc.",1950.0,,,https://en.wikipedia.org/wiki/Amer_Sports,,verified,VERIFIED
ASC,1577437,Ardmore Shipping Corp,2010.0,,,https://stockanalysis.com/stocks/asc/company/,2013.0,business_kept_holdco_separated,VERIFIED_CORRECTED
ASH,1674862,ASHLAND INC.,1924.0,,,https://en.wikipedia.org/wiki/Ashland_Global,,verified,VERIFIED
ASN,1156826,,,,,,,unresolved_blank,AUDITED_UNRESOLVED_SOURCE_CONTEXT
ASND,1612042,Ascendis Pharma A/S,2007.0,,,https://ascendispharma.com/about-us/,,verified,VERIFIED
ASO,1817358,"Academy Sports & Outdoors, Inc.",1938.0,,,https://en.wikipedia.org/wiki/Academy_Sports_+_Outdoors,,verified,VERIFIED
AT,65873,Alltel Corp,1943.0,,,https://en.wikipedia.org/wiki/Alltel,,verified,VERIFIED
ATGE,730464,,1931.0,,,https://en.wikipedia.org/wiki/DeVry_University,,verified,VERIFIED
ATI,1018963,ATI INC,1996.0,,,https://en.wikipedia.org/wiki/Allegheny_Technologies,,verified,VERIFIED
ATO,731802,Atmos Energy,1906.0,,,,1983.0,business_kept_holdco_separated,VERIFIED_CORRECTED
ATVI,718877,,1979.0,October,,https://en.wikipedia.org/wiki/Activision,,verified,VERIFIED
AV,1116521,,2000.0,,,https://en.wikipedia.org/wiki/Avaya,,verified,VERIFIED
AVB,915912,AvalonBay Communities,1978.0,,,https://www.sec.gov/Archives/edgar/data/915912/000091591225000010/avb-20241231.htm,,verified,VERIFIED
AVGO,1730168,Broadcom,1961.0,,,,2018.0,business_kept_holdco_separated,VERIFIED_CORRECTED_PRIMARY
AVP,8868,Avon Products,1886.0,,,https://en.wikipedia.org/wiki/Avon_Products,,verified,VERIFIED
AVY,8818,Avery Dennison,1935.0,,,https://en.wikipedia.org/wiki/Avery_Dennison,,verified,VERIFIED
AW,848865,,1987.0,,,https://www.fundinguniverse.com/company-histories/allied-waste-industries-inc-history/,,verified,VERIFIED
AWE,1138234,,1966.0,,,https://en.wikipedia.org/wiki/McCaw_Cellular_Communications,,corrected_earlier,VERIFIED_CORRECTED
AWK,1410636,American Water Works,1886.0,,,https://en.wikipedia.org/wiki/American_Water_Works,,verified,VERIFIED
AXON,1069183,Axon Enterprise,1993.0,September,1993-09-07,https://www.axon.com/news/about/founders-day,,verified,VERIFIED
AXP,4962,American Express,1850.0,,,https://en.wikipedia.org/wiki/American_Express,,verified,VERIFIED
AYE,3673,,1907.0,January,,https://en.wikipedia.org/wiki/Allegheny_Energy,,verified,VERIFIED
AYI,1144215,ACUITY INC. (DE),1919.0,,,https://en.wikipedia.org/wiki/Acuity_Brands,,verified,VERIFIED
AZA.A,4310,ALZA Corporation,1968.0,,,https://en.wikipedia.org/wiki/Alza,,verified,VERIFIED
AZO,866787,AutoZone,1979.0,,,https://www.autozone.com/company/about-autozone/company-culture/history,,verified,VERIFIED
BA,12927,Boeing,1916.0,,,https://www.boeing.com/features/2026/02/how-william-boeings-foresight-kept-the-company-close-to-dc,,verified,VERIFIED
BAC,70858,Bank of America,1904.0,October,,https://en.wikipedia.org/wiki/Bank_of_America_(1904%E2%80%931998),,verified,VERIFIED
BALL,9389,Ball Corporation,1880.0,,,https://investors.ball.com/sec-filings/all-sec-filings/content/0001104659-26-017410/ball-20251231x10k.htm,,verified,VERIFIED
BAX,10456,Baxter International,1931.0,October,1931-10-19,https://www.baxter.com/sites/g/files/ebysai746/files/2022-05/Certificate_of_Incorporation_2022.pdf,,verified,VERIFIED
BAY,,Bay Networks,1994.0,July,,https://en.wikipedia.org/wiki/Bay_Networks,,verified,VERIFIED
BBBY,1130713,"BED BATH & BEYOND, INC.",1971.0,,,https://s7d9.scene7.com/is/content/BedBathandBeyond/PDF/2015_Corporate_Responsibility_Report.pdf,,verified,VERIFIED
BBI,,Blockbuster Inc.,1985.0,,,https://en.wikipedia.org/wiki/Blockbuster_(retailer),,verified,VERIFIED
BBT,1108134,Beacon Financial Corp,,,,,,unresolved_blank,AUDITED_UNRESOLVED
BBWI,701985,"Bath & Body Works, Inc.",1990.0,,,https://en.wikipedia.org/wiki/Bath_%26_Body_Works,,verified,VERIFIED
BBY,764478,Best Buy,1966.0,,1966,https://partners.bestbuy.com/-/credit-app-data-and-trade,,verified,VERIFIED
BC,14930,BRUNSWICK CORP,1845.0,September,,https://en.wikipedia.org/wiki/Brunswick_Corporation,,verified,VERIFIED
BCO,78890,BRINKS CO,1859.0,,,https://en.wikipedia.org/wiki/Brink%27s,,verified,VERIFIED
BCR,9892,"C.R. Bard, Inc.",1907.0,,,https://en.wikipedia.org/wiki/Bard_(company),,verified,VERIFIED
BDK,12355,Black & Decker,1910.0,,,https://en.wikipedia.org/wiki/Black%2BDecker,,verified,VERIFIED
BDX,10795,Becton Dickinson,1897.0,,1897,https://www.bd.com/content/dam/bd-assets/bd-com/en-us/document/policy/code-of-conduct/code-of-conduct-english.pdf,,verified,VERIFIED
BEAM,1745999,Beam Therapeutics Inc.,2017.0,,,https://en.wikipedia.org/wiki/Beam_Therapeutics,,verified,VERIFIED
BEN,38777,Franklin Resources,1947.0,,,https://investors.franklinresources.com/news-center/press-releases/press-release-details/2022/Franklin-Templeton-to-Celebrate-Its-75th-Anniversary-with-New-York-Stock-Exchange-Bell-Ringing-on-November-15-2022/default.aspx,,verified,VERIFIED
BEV,,Beverly Enterprises Inc.,1964.0,,,https://www.encyclopedia.com/social-sciences-and-law/economics-business-and-labor/businesses-and-occupations/beverly-enterprises-inc,,verified,VERIFIED
BF.B,14693,Brown–Forman,1870.0,,,https://www.brown-forman.com/about/history,,verified,VERIFIED
BFI,,Browning-Ferris Industries,1967.0,,,https://www.fundinguniverse.com/company-histories/browning-ferris-industries-inc-history/,1970.0,business_kept_holdco_separated,VERIFIED_CORRECTED
BFO,,Bestfoods (CPC International),1906.0,January,,https://www.fundinguniverse.com/company-histories/bestfoods-history/,,verified,VERIFIED
BG,1996862,Bunge Global,1818.0,,1818,https://www.bunge.com/we-are-bunge/our-history,,verified,VERIFIED
BGEN,714655,,1978.0,,,https://en.wikipedia.org/wiki/Biogen,,verified,VERIFIED
BGG,14195,Briggs & Stratton,1908.0,,,https://en.wikipedia.org/wiki/Briggs_%26_Stratton,,verified,VERIFIED
BHF,1685040,"Brighthouse Financial, Inc.",2017.0,,,https://en.wikipedia.org/wiki/Brighthouse_Financial,,verified,VERIFIED
BHGE,808362,Baker Hughes (a GE Company),1907.0,,,https://en.wikipedia.org/wiki/Baker_Hughes,2016.0,business_kept_holdco_separated,VERIFIED_CORRECTED
BHMSQ,,Bethlehem Steel Corporation,1857.0,,,https://en.wikipedia.org/wiki/Bethlehem_Steel,1904.0,business_kept_holdco_separated,VERIFIED_CORRECTED
BIG,768835,,1967.0,,,https://en.wikipedia.org/wiki/Big_Lots,,verified,VERIFIED
BIIB,875045,Biogen,1978.0,,,https://www.biogen.com/company/history.html,,verified,VERIFIED
BIO,12208,"BIO-RAD LABORATORIES, INC.",1952.0,,,https://en.wikipedia.org/wiki/Bio-Rad_Laboratories,,verified,VERIFIED
BJS,864328,,1872.0,,,https://en.wikipedia.org/wiki/BJ_Energy_Solutions,,verified,VERIFIED
BK,9626,Bank of New York Mellon,1784.0,,,https://en.wikipedia.org/wiki/BNY,2007.0,business_kept_holdco_separated,VERIFIED_CORRECTED
BKB,,BankBoston,1784.0,February,,https://en.wikipedia.org/wiki/BankBoston,,verified,VERIFIED
BKNG,1075531,Booking Holdings,1996.0,,,,1998.0,business_kept_holdco_separated,VERIFIED_CORRECTED
BKR,1701605,Baker Hughes,2016.0,October,2016-10-28,https://www.sec.gov/Archives/edgar/data/1701605/000170160524000111/ex31fourthamendedandrestat.htm,,corrected_earlier,VERIFIED_CORRECTED
BLDR,1316835,Builders FirstSource,1998.0,,1998,https://www.bldr.com/who-we-are,,verified,VERIFIED
BLK,2012383,BlackRock,1988.0,,1988,https://www.blackrock.com/uk/literature/annual-report/blackrock-life-limited-solvency-and-financial-condition-report-31-december-2024.pdf,,verified,VERIFIED
BLL,9389,Ball Corporation,1880.0,,,https://en.wikipedia.org/wiki/Ball_Corporation,,verified,VERIFIED
BLS,732713,BellSouth Corporation,1983.0,December,,https://en.wikipedia.org/wiki/BellSouth,,verified,VERIFIED
BLY,,Bally Manufacturing Corporation,1932.0,January,,https://en.wikipedia.org/wiki/Bally_Manufacturing,,verified,VERIFIED
BMC,835729,,1980.0,,,https://en.wikipedia.org/wiki/BMC_Software,,verified,VERIFIED
BMET,351346,"Biomet, Inc.",1977.0,,,https://en.wikipedia.org/wiki/Biomet,,verified,VERIFIED
BMGCA,,,,,,,,unresolved_blank,AUDITED_UNRESOLVED
BMS,11199,"Bemis Company, Inc.",1858.0,,,https://en.wikipedia.org/wiki/Bemis_Company,,verified,VERIFIED
BMY,14272,Bristol Myers Squibb,1887.0,,,https://en.wikipedia.org/wiki/Bristol_Myers_Squibb,,verified,VERIFIED
BNI,934612,Burlington Northern Santa Fe,1849.0,,,https://en.wikipedia.org/wiki/BNSF_Railway,1996.0,business_kept_holdco_separated,VERIFIED_CORRECTED
BNL,1424182,"Broadstone Net Lease, Inc.",2007.0,October,2007-10-18,https://broadstone.com/wp-content/uploads/2026/02/Latest_10-K.pdf,,verified,VERIFIED
BNY,1390777,BNY Mellon,1784.0,February,1784-02-23,https://www.bny.com/assets/wealth/pdf-library/240-history-timeline.pdf,,verified,VERIFIED
BOAT,,"Boatmen's Bancshares, Inc.",1847.0,,,https://en.wikipedia.org/wiki/Boatmen%27s_Bancshares,,verified,VERIFIED
BOL,10427,Bausch & Lomb,1853.0,,,https://en.wikipedia.org/wiki/Bausch_%26_Lomb,,verified,VERIFIED
BR,1383312,Broadridge Financial Solutions,1962.0,,,https://www.broadridge.com/about/history,,verified,VERIFIED
BRCM,1054374,,1991.0,,,https://www.britannica.com/money/Broadcom-Inc,,verified,VERIFIED
BRK.B,1067983,Berkshire Hathaway,1839.0,,,,1998.0,business_kept_holdco_separated,VERIFIED_CORRECTED_PRIMARY
BRL,10081,,1970.0,,,https://en.wikipedia.org/wiki/Barr_Pharmaceuticals,,verified,VERIFIED
BRO,79282,Brown & Brown,1939.0,,,https://www.sec.gov/Archives/edgar/data/79282/000095017025049525/bro-ex99_1.htm,,verified,VERIFIED
BSC,777001,,1923.0,May,,https://en.wikipedia.org/wiki/Bear_Stearns,,verified,VERIFIED
BSX,885725,Boston Scientific,1979.0,,,https://www.sec.gov/Archives/edgar/data/929987/000134100406000325/gdt425.htm,,verified,VERIFIED
BT,,Bankers Trust,1903.0,,,https://en.wikipedia.org/wiki/Bankers_Trust,,verified,VERIFIED
BTUUQ,1064728,,1883.0,,,https://www.encyclopedia.com/books/politics-and-business-magazines/peabody-energy-corporation,,verified,VERIFIED
BUD,1668717,Anheuser-Busch InBev SA/NV,1852.0,,,https://en.wikipedia.org/wiki/Anheuser-Busch,,verified,VERIFIED
BVSN,920448,,1993.0,May,,https://en.wikipedia.org/wiki/BroadVision,,verified,VERIFIED
BWA,908255,BORGWARNER INC,1880.0,,,https://en.wikipedia.org/wiki/BorgWarner,1928.0,business_kept_holdco_separated,VERIFIED_CORRECTED
BX,1393818,Blackstone Inc.,1985.0,,,https://ir.blackstone.com/files/doc_financials/annual_reports/BX_07AR_online.pdf,,verified,VERIFIED
BXLT,1620546,,2015.0,July,,https://en.wikipedia.org/wiki/Baxalta,,verified,VERIFIED
BXP,1037540,"BXP, Inc.",1970.0,,,https://www.bxp.com/wp-content/uploads/2021/02/2016_Sustainability_Report.pdf,,verified,VERIFIED
C,831001,Citigroup,1998.0,,1998,https://www.citigroup.com/rcs/citigpa/storage/public/ar12c_en.pdf,,verified,VERIFIED_CORRECTED
CA,356028,"CA, Inc. (Computer Associates)",1976.0,,,https://en.wikipedia.org/wiki/CA_Technologies,,verified,VERIFIED
CAG,23217,Conagra Brands,1919.0,,,https://www.sec.gov/Archives/edgar/data/23217/000110465904022554/a04-7990_110k.htm,,verified,VERIFIED
CAH,721371,Cardinal Health,1971.0,,1971,https://newsroom.cardinalhealth.com/2021-01-07-Cardinal-Health-celebrates-50th-anniversary%2C-launches-year-of-service,,verified,VERIFIED
CAL,14707,CALERES INC,1878.0,,,https://en.wikipedia.org/wiki/Caleres,,verified,VERIFIED
CAM,941548,,1920.0,,,https://en.wikipedia.org/wiki/Cameron_International,,verified,VERIFIED
CAR,723612,"AVIS BUDGET GROUP, INC.",1946.0,,,https://en.wikipedia.org/wiki/Avis_Car_Rental,,verified,VERIFIED
CARR,1783180,Carrier Global,1915.0,June,,https://en.wikipedia.org/wiki/Carrier_Global,,verified,VERIFIED
CASY,726958,Casey's,1967.0,,,https://www.sec.gov/Archives/edgar/data/726958/000072695819000078/casy-2019430x10k.htm,,verified,VERIFIED
CAT,18230,Caterpillar Inc.,1925.0,,,,1986.0,business_kept_holdco_separated,VERIFIED_CORRECTED
CB,896159,Chubb Limited,1985.0,,,https://www.sec.gov/Archives/edgar/data/896159/000089615926000005/cb-20251231.htm,,verified,VERIFIED
CBB,,Cincinnati Bell Inc.,1873.0,July,,https://en.wikipedia.org/wiki/Cincinnati_Bell,,verified,VERIFIED
CBE,1141982,Cooper Industries,1833.0,,,https://en.wikipedia.org/wiki/Cooper_Industries,,verified,VERIFIED
CBH,715096,,1973.0,,,https://en.wikipedia.org/wiki/Commerce_Bancorp,,verified,VERIFIED
CBOE,1374310,Cboe Global Markets,1973.0,,,,2006.0,business_kept_holdco_separated,VERIFIED_CORRECTED
CBRE,1138118,CBRE Group,1906.0,,1906,https://mediaassets.cbre.com/-/media/project/cbre/dotcom/asiapacific/japan-emerald/about-us/culture-and-history/cbre_japan_history_2020_en.pdf,,verified,VERIFIED
CBS,813828,CBS Corporation,1927.0,January,,https://en.wikipedia.org/wiki/CBS,,verified,VERIFIED
CBSS,18568,,1964.0,,,https://en.wikipedia.org/wiki/Compass_Bancshares,1970.0,business_kept_holdco_separated,VERIFIED_CORRECTED
CCB,1437958,COASTAL FINANCIAL CORP,1997.0,,,https://www.cbinsights.com/company/coastal-financial,2003.0,business_kept_holdco_separated,VERIFIED_CORRECTED_PRIMARY
CCE,1491675,,1986.0,,,https://en.wikipedia.org/wiki/Coca-Cola_Enterprises,,verified,VERIFIED
CCEP,1650107,COCA-COLA EUROPACIFIC PARTNERS plc,2016.0,May,,https://en.wikipedia.org/wiki/Coca-Cola_Europacific_Partners,,verified,VERIFIED
CCI,1051470,Crown Castle,1994.0,,,https://www.crowncastle.com/sustainability/resources/environmental-data-tables-2024.pdf,,verified,VERIFIED
CCK,1219601,"CROWN HOLDINGS, INC.",1892.0,,,https://en.wikipedia.org/wiki/Crown_Holdings,,verified,VERIFIED
CCL,815097,Carnival Corporation,1972.0,,,https://www.sec.gov/Archives/edgar/data/815097/000081509720000003/a2019form10-kfrontpart.htm,,verified,VERIFIED
CCTYQ,104599,"Circuit City Stores, Inc.",1949.0,,,https://en.wikipedia.org/wiki/Circuit_City,,verified,VERIFIED
CCU,888746,UNITED BREWERIES CO INC,1902.0,,,https://en.wikipedia.org/wiki/Compa%C3%B1%C3%ADa_de_las_Cervecer%C3%ADas_Unidas,,verified,VERIFIED
CDAY,1725057,,1957.0,,,https://en.wikipedia.org/wiki/Dayforce,1992.0,business_kept_holdco_separated,VERIFIED_CORRECTED
CDNS,813672,Cadence Design Systems,1988.0,,1988,https://login.cadence.com/content/dam/cadence-www/global/en_US/documents/company/cadence-fact-sheet.pdf,,verified,VERIFIED
CDW,1402057,CDW Corporation,1984.0,,1984,https://webobjects.cdw.com/webobjects/downloads/investor/annualreports/2006.pdf,,verified,VERIFIED
CE,1306830,Celanese Corp,1918.0,,,https://en.wikipedia.org/wiki/Celanese,,verified,VERIFIED
CEG,1868275,Constellation Energy,1999.0,,,,2022.0,business_kept_holdco_separated,VERIFIED_CORRECTED_PRIMARY
CELG,816284,,1986.0,,,https://en.wikipedia.org/wiki/Celgene,,verified,VERIFIED
