symbol,company_name,cik,sector,sub_industry,hq,founded,sp_entry_date,sp_exit_date
LUV,Southwest Airlines,0000092380,Industrials,Passenger Airlines,"Dallas, Texas",1967,1996-01-02,
LVLT,,0000794323,Communication Services,,,,2014-11-05,2017-10-13
LVS,Las Vegas Sands,0001300514,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",1988,2019-10-03,
LW,"Lamb Weston Holdings, Inc.",0001679273,Consumer Staples,,,,2018-12-03,2026-03-23
LXK,,0001001288,Information Technology,,,,1999-08-13,2012-10-01
LYB,LyondellBasell,0001489393,Materials,Specialty Chemicals,"Rotterdam, Netherlands",2007,2012-09-05,
LYV,Live Nation Entertainment,0001335258,Communication Services,Movies & Entertainment,"Beverly Hills, California",2010,2019-12-23,
M,"Macy's, Inc.",0000794367,Consumer Discretionary,,,,1996-01-02,2020-04-06
MA,Mastercard,0001141391,Financials,Transaction & Payment Processing Services,"Harrison, New York",1966,2008-07-18,
MAA,Mid-America Apartment Communities,0000912595,Real Estate,Multi-Family Residential REITs,"Memphis, Tennessee",1977,2016-12-02,
MAC,MACERICH CO,0000912242,Real Estate,,,,2013-05-09,2019-12-23
MAR,Marriott International,0001048286,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",1927,1998-05-21,
MAS,Masco,0000062996,Industrials,Building Products,"Livonia, Michigan",1929,1996-01-02,
MAT,MATTEL INC /DE/,0000063276,Consumer Discretionary,,,,1996-01-02,2019-06-07
MAY,,0000063416,Consumer Discretionary,,,,1996-01-02,2005-08-29
MBI,MBIA INC,0000814585,Financials,,,,1996-12-03,2009-12-21
MCD,McDonald's,0000063908,Consumer Discretionary,Restaurants,"Chicago, Illinois",1940,1996-01-02,
MCHP,Microchip Technology,0000827054,Information Technology,Semiconductors,"Chandler, Arizona",1989,2007-09-07,
MCK,McKesson Corporation,0000927653,Health Care,Health Care Distributors,"Irving, Texas",1833,1999-01-13,
MCO,Moody's Corporation,0001059556,Financials,Financial Exchanges & Data,"New York City, New York",1909,1996-01-02,
MD,"Pediatrix Medical Group, Inc.",0000893949,Health Care,,,,1996-01-02,1997-08-01
MDLZ,Mondelez International,0001103982,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",2012,2007-04-02,
MDP,,0000065011,Communication Services,,,,1996-01-02,2011-01-04
MDR,,0000708819,Industrials,,,,1996-01-02,2003-08-20
MDT,Medtronic,0001613103,Health Care,Health Care Equipment,"Galway, Ireland",1949,1996-01-02,
MEA,,0000064394,Materials,,,,1996-01-02,2002-01-30
MEDI,,0000873591,Health Care,,,,2000-06-16,2007-06-01
MEE,,0000037748,Energy,,,,1996-01-02,2011-06-02
MEL,,0000064782,Financials,,,,1996-01-02,2007-07-02
MER,,0000065100,Financials,,,,1996-01-02,2009-01-02
MERQ,,0000867058,Information Technology,,,,2000-06-29,2006-01-04
MET,MetLife,0001099219,Financials,Life & Health Insurance,"New York City, New York",1868,2000-12-11,
META,Meta Platforms,0001326801,Communication Services,Interactive Media & Services,"Menlo Park, California",2004,2013-12-23,2022-06-09
MFE,,0000890801,Information Technology,,,,2008-12-23,2011-03-01
MGM,MGM Resorts,0000789570,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",1986,2017-07-26,
MHK,MOHAWK INDUSTRIES INC,0000851968,Consumer Discretionary,,,,2013-12-23,2025-12-22
MHS,,0001170650,Consumer Staples,,,,2003-08-20,2012-04-02
MI,NFT Ltd,0001399315,Financials,,,,2002-02-11,2011-07-06
MIL,,0000066479,Health Care,,,,1996-01-02,2010-07-15
MIR,"Mirion Technologies, Inc.",0001809987,Industrials,,,,1997-08-07,2003-07-17
MJN,,0001452575,Consumer Staples,,,,2009-12-21,2017-06-15
MKC,McCormick & Company,0000063754,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",1889,2003-03-21,
MKG,,0000051396,Health Care,,,,1996-01-02,2000-10-18
MKTX,MARKETAXESS HOLDINGS INC,0001278021,Financials,,,,2019-07-01,2025-09-22
MLM,Martin Marietta Materials,0000916076,Materials,Construction Materials,"Raleigh, North Carolina",1993,2014-07-02,
MMC,Marsh McLennan,0000062709,Financials,Insurance Brokers,"New York City, New York",1905,1996-01-02,2026-01-14
MMI,"Marcus & Millichap, Inc.",0001578732,Real Estate,,,,2011-01-04,2012-05-22
MMM,3M,0000066740,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",1902,1996-01-02,
MNK,,0001567892,Health Care,,,,2014-08-19,2017-07-26
MNR,MACH NATURAL RESOURCES LP,0001980088,Energy,,,,1996-01-02,1998-09-28
MNST,Monster Beverage,0000865752,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Corona, California",2012 (1935),2012-06-29,
MO,Altria,0000764180,Consumer Staples,Tobacco,"Richmond, Virginia",1985,1996-01-02,
MOH,"MOLINA HEALTHCARE, INC.",0001179929,Health Care,,,,2022-03-02,2026-03-23
MOLX,,0000067472,Information Technology,,,,1999-12-01,2013-12-09
MON,,0001110783,Materials,,,,2002-08-14,2018-06-07
MOS,Mosaic Company (The),0001285785,Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida",2004 (1865 / 1909),2011-09-26,
MPC,Marathon Petroleum,0001510295,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",2009 (1887),2011-07-01,
MPWR,Monolithic Power Systems,0001280452,Information Technology,Semiconductors,"Kirkland, Washington",1997,2021-02-12,
MRK,Merck & Co.,0000310158,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1891,1996-01-02,
MRNA,Moderna,0001682852,Health Care,Biotechnology,"Cambridge, Massachusetts",2010,2021-07-21,
MRO,,0000101778,Energy,,,,1996-01-02,2024-11-26
MRSH,Marsh McLennan,0000062709,Financials,Insurance Brokers,"New York City, New York",1905,1996-01-02,2026-01-14
MS,Morgan Stanley,0000895421,Financials,Investment Banking & Brokerage,"New York City, New York",1935,1996-01-02,
MSCI,MSCI Inc.,0001408198,Financials,Financial Exchanges & Data,"New York City, New York",1969,2018-04-04,
MSFT,Microsoft,0000789019,Information Technology,Systems Software,"Redmond, Washington",1975,1996-01-02,
MSI,Motorola Solutions,0000068505,Information Technology,Communications Equipment,"Chicago, Illinois",1928 (2011),1996-01-02,
MTB,M&T Bank,0000036270,Financials,Regional Banks,"Buffalo, New York",1856,2004-02-27,
MTCH,"Match Group, Inc.",0000891103,Information Technology,,,,2021-09-20,2026-03-23
MTD,Mettler Toledo,0001037646,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",1945,2016-09-06,
MTG,MGIC INVESTMENT CORP,0000876437,Financials,,,,1996-07-19,2008-10-31
MTLQQ,,0000040730,Consumer Discretionary,,,,1996-01-02,2009-06-03
MTW,MANITOWOC CO INC,0000061986,Industrials,,,,2007-11-16,2009-09-01
MU,Micron Technology,0000723125,Information Technology,Semiconductors,"Boise, Idaho",1978,1996-01-02,
MUR,MURPHY OIL CORP,0000717423,Energy,,,,2005-08-15,2017-07-26
MWV,,0001159297,Materials,,,,1996-01-02,2015-07-02
MWW,,0001020416,Industrials,,,,2001-06-04,2011-12-19
MXIM,,0000743316,Information Technology,,,,2000-05-10,2021-08-30
MYG,,0000063541,Consumer Discretionary,,,,1996-01-02,2006-04-03
MYL,,0000069499,Health Care,,,,2004-04-23,2020-11-17
MZIAQ,,0000716823,Industrials,,,,1996-01-02,2000-06-29
NAV,,0000051303,Financials,,,,1996-01-02,2006-12-20
NAVI,NAVIENT CORP,0001593538,Financials,,,,2014-05-01,2018-06-05
NBL,,0000072207,Energy,,,,2007-10-08,2020-10-12
NBR,NABORS INDUSTRIES LTD,0001163739,Energy,,,,2000-10-18,2015-03-23
NC,NACCO INDUSTRIES INC,0000789933,Energy,,,,1996-01-02,2000-06-05
NCC,,0000069970,Financials,,,,1996-01-02,2009-01-02
NCLH,Norwegian Cruise Line Holdings,0001513761,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami-Dade County, Florida[4]",2011 (1966),2017-10-13,
NCR,,0000070866,Information Technology,,,,2000-01-04,2007-10-01
NDAQ,"Nasdaq, Inc.",0001120193,Financials,Financial Exchanges & Data,"New York City, New York",1971,2008-10-22,
NDSN,Nordson Corporation,0000072331,Industrials,Industrial Machinery & Supplies & Components,"Westlake, Ohio",1935,2022-02-15,
NE,Noble Corp plc,0001895262,Energy,,,,2001-01-16,2015-07-20
NEE,NextEra Energy,0000753308,Utilities,Multi-Utilities,"Juno Beach, Florida",1984 (1925),1996-01-02,
NEM,Newmont,0001164727,Materials,Gold,"Denver, Colorado",1921,1996-01-02,
NFB,,0000352510,Financials,,,,2002-07-17,2006-12-01
NFLX,Netflix,0001065280,Communication Services,Movies & Entertainment,"Los Gatos, California",1997,2010-12-20,
NFX,,0000912750,Energy,,,,2010-12-20,2019-02-15
NI,NiSource,0001111711,Utilities,Multi-Utilities,"Merrillville, Indiana",1912,2000-11-02,
NKE,"Nike, Inc.",0000320187,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",1964,1996-01-02,
NKTR,NEKTAR THERAPEUTICS,0000906709,Health Care,,,,2018-03-19,2019-10-03
NLSN,,0001492633,Industrials,,,,2013-07-09,2022-10-12
NMK,,0000071932,Utilities,,,,1996-01-02,2002-02-01
NOC,Northrop Grumman,0001133421,Industrials,Aerospace & Defense,"West Falls Church, Virginia[3]","1994 (Northrop 1939, Grumman 1930)",1996-01-02,
NOV,NOV Inc.,0001021860,Industrials,,,,2005-03-14,2021-09-20
NOVL,,0000758004,Information Technology,,,,1996-01-02,2011-04-28
NOW,ServiceNow,0001373715,Information Technology,Systems Software,"Santa Clara, California",2003,2019-11-21,
NRG,NRG Energy,0001013871,Utilities,Independent Power Producers & Energy Traders,"Houston, Texas",1992,2010-01-29,
NRTLQ,,0000072911,Information Technology,,,,1996-01-02,2002-07-22
NSC,Norfolk Southern,0000702165,Industrials,Rail Transportation,"Atlanta, Georgia",1881/1894 (1980),1996-01-02,
NSI,,0000070538,Consumer Discretionary,,,,1996-01-02,2001-12-03
NSM,,0000070530,Information Technology,,,,1996-01-02,2011-09-26
NTAP,NetApp,0001002047,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",1992,1999-06-25,
NTRS,Northern Trust,0000073124,Financials,Asset Management & Custody Banks,"Chicago, Illinois",1889,1998-01-30,
NUE,Nucor,0000073309,Materials,Steel,"Charlotte, North Carolina",1940,1996-01-02,
NVDA,Nvidia,0001045810,Information Technology,Semiconductors,"Santa Clara, California",1993,2001-11-30,
NVLS,,0000836106,Industrials,,,,2000-06-19,2012-06-05
NVR,"NVR, Inc.",0000906163,Consumer Discretionary,Homebuilding,"Reston, Virginia",1980,2019-09-26,
NWL,NEWELL BRANDS INC.,0000814453,Materials,,,,1996-01-02,2023-09-18
NWSA,News Corp (Class B),0001564708,Communication Services,Publishing,"New York City, New York",2013 (News Corporation 1980),2013-07-01,
NXPI,NXP Semiconductors,0001413447,Information Technology,Semiconductors,"Eindhoven, Netherlands",1953,2021-03-22,
NXTL,,0000824169,Communication Services,,,,1998-04-01,2005-08-15
NYT,NEW YORK TIMES CO,0000071691,Communication Services,,,,1996-01-02,2010-12-20
NYX,,0001368007,Financials,,,,2007-10-25,2013-11-13
O,Realty Income,0000726728,Real Estate,Retail REITs,"San Diego, California",1969,2015-04-07,
ODFL,Old Dominion,0000878927,Industrials,Cargo Ground Transportation,"Thomasville, North Carolina",1934,2019-12-09,
ODP,,0000800240,Consumer Discretionary,,,,1999-06-24,2010-12-20
OGN,Organon & Co.,0001821825,Health Care,,,,2021-06-04,2023-10-18
OI,"O-I Glass, Inc. /DE/",0000812074,Materials,,,,1997-08-04,2016-12-02
OKE,Oneok,0001039684,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",1906,1996-01-02,2001-08-30
OM,"Outset Medical, Inc.",0001484612,Health Care,,,,1996-01-02,1996-10-01
OMC,Omnicom Group,0000029989,Communication Services,Advertising,"New York City, New York",1986,1997-12-24,
OMX,,0000012978,Industrials,,,,1996-01-02,2008-06-23
ON,ON Semiconductor,0001097864,Information Technology,Semiconductors,"Phoenix, Arizona",1999,2022-06-21,
ONE,,0001067092,Financials,,,,1996-01-02,2004-07-01
ORCL,Oracle Corporation,0001341439,Information Technology,Application Software,"Austin, Texas",1977,1996-01-02,
ORLY,O’Reilly Automotive,0000898173,Consumer Discretionary,Automotive Retail,"Springfield, Missouri",1957,2009-03-27,
OTIS,Otis Worldwide,0001781335,Industrials,Industrial Machinery & Supplies & Components,"Farmington, Connecticut","2020 (1853, United Technologies spinoff)",2020-04-03,
OWENQ,,0000075234,Materials,,,,1996-01-02,2000-10-02
OXY,Occidental Petroleum,0000797468,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1920,1996-01-02,
PALM,,0001100389,Information Technology,,,,2000-07-28,2002-08-14
PANW,Palo Alto Networks,0001327567,Information Technology,Systems Software,"Santa Clara, California",2005,2023-06-20,
PARA,,0000813828,Communication Services,,,,1996-01-02,2025-08-08
PAYC,"Paycom Software, Inc.",0001590955,Information Technology,,,,2020-01-28,2026-03-23
PAYX,Paychex,0000723531,Industrials,Human Resource & Employment Services,"Penfield, New York",1971,1998-10-01,
PBCT,,0001378946,Financials,,,,2008-11-13,2022-04-04
PBG,,0001076405,Consumer Staples,,,,2001-05-14,2010-03-01
PBI,PITNEY BOWES INC /DE/,0000078814,Information Technology,,,,1996-01-02,2017-03-01
PBY,,0000077449,Consumer Discretionary,,,,1996-01-02,2000-04-03
PCAR,Paccar,0000075362,Industrials,Construction Machinery & Heavy Transportation Equipment,"Bellevue, Washington",1905,1996-01-02,
PCG,PG&E Corporation,0001004980,Utilities,Multi-Utilities,"Oakland, California",1905,1996-01-02,2019-01-18
PCH,,0000079716,Materials,,,,1996-01-02,2001-07-09
PCL,,0000849213,Real Estate,,,,2002-01-17,2016-02-22
PCP,,0000079958,Materials,,,,2007-06-01,2016-02-01
PCS,,0000101830,Communication Services,,,,1998-11-24,2004-04-23
PD,"PagerDuty, Inc.",0001568100,Information Technology,,,,1996-01-02,2007-03-20
PDCO,,0000891024,Industrials,,,,2005-10-11,2018-03-19
PEG,Public Service Enterprise Group,0000788784,Utilities,Electric Utilities,"Newark, New Jersey",1903,1996-01-02,
PENN,"PENN Entertainment, Inc.",0000921738,Consumer Discretionary,,,,2021-03-22,2022-09-19
PEP,PepsiCo,0000077476,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Purchase, New York",1898,1996-01-02,
PETM,,0000863157,Consumer Discretionary,,,,2012-10-05,2015-03-12
PFE,Pfizer,0000078003,Health Care,Pharmaceuticals,"New York City, New York",1849,1996-01-02,
PFG,Principal Financial Group,0001126328,Financials,Life & Health Insurance,"Des Moines, Iowa",1879,2002-07-22,
PG,Procter & Gamble,0000080424,Consumer Staples,Personal Care Products,"Cincinnati, Ohio",1837,1996-01-02,
PGL,,0000077385,Energy,,,,1996-01-02,2007-02-22
PGN,,0001094093,Utilities,,,,1996-01-02,2012-07-02
PGR,Progressive Corporation,0000080661,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1937,1997-08-04,
PH,Parker Hannifin,0000076334,Industrials,Industrial Machinery & Supplies & Components,"Cleveland, Ohio",1917,1996-01-02,
PHA,,0000067686,Materials,,,,1996-01-02,2003-04-16
PHM,PulteGroup,0000822416,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",1956,1996-01-02,
PKG,Packaging Corporation of America,0000075677,Materials,Paper & Plastic Packaging Products & Materials,"Lake Forest, Illinois",1959,2017-07-26,
PKI,Revvity,0000031791,Health Care,Health Care Equipment,"Waltham, Massachusetts",1937,1996-01-02,2023-05-16
PLD,Prologis,0001045609,Real Estate,Industrial REITs,"San Francisco, California",1983,2003-07-17,
PLL,,0000075829,Industrials,,,,1996-01-02,2015-08-31
PLTR,Palantir Technologies,0001321655,Information Technology,Application Software,"Aventura, Florida",2003,2024-09-23,
PM,Philip Morris International,0001413329,Consumer Staples,Tobacco,"New York City, New York",2008 (1847),2008-03-31,
PMCS,,0000767920,Information Technology,,,,2001-08-03,2007-07-02
PMI,"Picard Medical, Inc.",0002030617,Health Care,,,,1996-01-02,1996-05-31
PNC,PNC Financial Services,0000713676,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1845,1996-01-02,
PNR,Pentair,0000077360,Industrials,Industrial Machinery & Supplies & Components,"Worsley, United Kingdom",1966,2012-10-01,
PNW,Pinnacle West Capital,0000764622,Utilities,Multi-Utilities,"Phoenix, Arizona",1985,1999-10-04,
PODD,Insulet Corporation,0001145197,Health Care,Health Care Equipment,"Acton, Massachusetts",2000,2023-03-15,
POM,POMDOCTOR Ltd,0001135971,Utilities,,,,2007-11-09,2016-03-24
POOL,Pool Corporation,0000945841,Consumer Discretionary,Distributors,"Covington, Louisiana",1993,2020-10-07,
PPG,PPG Industries,0000079879,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1883,1996-01-02,
PPL,PPL Corporation,0000922224,Utilities,Electric Utilities,"Allentown, Pennsylvania",1920,1996-01-02,
PRD,,0000079326,Health Care,,,,1996-01-02,2000-12-12
PRGO,PERRIGO Co plc,0001585364,Health Care,,,,2011-12-19,2021-09-20
PRU,Prudential Financial,0001137774,Financials,Life & Health Insurance,"Newark, New Jersey",1875,2002-07-22,
PSA,Public Storage,0001393311,Real Estate,Self-Storage REITs,"Glendale, California",1972,2005-08-19,
PSFT,,0000875570,Information Technology,,,,1998-10-02,2004-12-29
PSKY,Paramount Skydance Corporation,0002041610,Communication Services,Movies & Entertainment,"Los Angeles, California",2025 (Paramount Pictures 1912),2025-08-08,
PSX,Phillips 66,0001534701,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",2012 (1917),2012-05-01,
PTC,PTC Inc.,0000857005,Information Technology,Application Software,"Boston, Massachusetts",1985,1997-04-03,2007-01-03
PTV,,0001089976,Materials,,,,1999-11-05,2010-11-17
PVH,PVH CORP. /DE/,0000078239,Consumer Discretionary,,,,2013-02-14,2022-09-19
PVN,,0001035713,Financials,,,,1996-01-02,2005-10-03
PWER,,0001042825,Information Technology,,,,2000-10-23,2005-03-14
PWR,Quanta Services,0001050915,Industrials,Construction & Engineering,"Houston, Texas",1997,2009-07-01,
PX,,0000884905,Materials,,,,1996-01-02,2018-10-31
PXD,,0001038357,Energy,,,,2008-09-24,2024-05-08
PYPL,PayPal,0001633917,Financials,Transaction & Payment Processing Services,"San Jose, California",1998,2015-07-20,
Q,Qnity Electronics,0002058873,Information Technology,Semiconductor Materials & Equipment,"Wilmington, Delaware",2025,2000-07-06,2011-04-01
QCOM,Qualcomm,0000804328,Information Technology,Semiconductors,"San Diego, California",1985,1999-07-22,
QEP,,0001108827,Energy,,,,2010-07-01,2015-07-01
QLGC,,0000918386,Information Technology,,,,2000-12-12,2011-01-18
QRVO,"Qorvo, Inc.",0001604778,Information Technology,,,,2015-06-12,2024-12-23
QTRN,,0000919623,Health Care,,,,1999-11-16,2003-09-26
R,RYDER SYSTEM INC,0000085961,Consumer Discretionary,,,,1996-01-02,2017-06-19
RAD,,0000084129,Consumer Staples,,,,1996-01-02,2000-07-27
RAI,,0001275283,Consumer Staples,,,,2002-09-04,2017-07-25
RAI_B,,0001275283,Consumer Staples,,,,2002-09-04,2017-07-25
RAL,Ralliant Corp,0002041385,Industrials,,,,1996-01-02,2001-12-13
RATL,,0000722056,Information Technology,,,,2002-02-01,2003-02-21
RBK,,0000770949,Consumer Discretionary,,,,1996-01-02,2006-02-01
RCL,Royal Caribbean Group,0000884887,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",1997,2014-12-05,
RDC,,0000085408,Energy,,,,1996-01-02,2014-08-19
REG,Regency Centers,0000910606,Real Estate,Retail REITs,"Jacksonville, Florida",1963,2017-03-02,
REGN,Regeneron Pharmaceuticals,0000872589,Health Care,Biotechnology,"Tarrytown, New York",1988,2013-05-01,
RF,Regions Financial Corporation,0001281761,Financials,Regional Banks,"Birmingham, Alabama",1971,1998-08-28,
RHI,ROBERT HALF INC.,0000315213,Industrials,,,,2000-12-05,2024-06-24
RHT,,0001087423,Information Technology,,,,2009-07-27,2019-07-15
RIG,Transocean Ltd.,0001451505,Energy,,,,1999-12-31,2017-07-26
RJF,Raymond James Financial,0000720005,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",1962,2017-03-20,
RL,Ralph Lauren Corporation,0001037038,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",1967,2007-02-02,
RMD,ResMed,0000943819,Health Care,Health Care Equipment,"San Diego, California",1989,2017-07-26,
RML,,0000085812,Consumer Discretionary,,,,1996-01-02,2000-12-12
ROH,,0000084792,Materials,,,,1996-01-02,2009-04-02
ROK,Rockwell Automation,0001024478,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",1903,1996-01-02,
ROL,"Rollins, Inc.",0000084839,Industrials,Environmental & Facilities Services,"Atlanta, Georgia",1948,2018-10-01,
ROP,Roper Technologies,0000882835,Information Technology,Electronic Equipment & Instruments,"Sarasota, Florida",1981,2009-12-23,
ROST,Ross Stores,0000745732,Consumer Discretionary,Apparel Retail,"Dublin, California",1982,2009-12-21,
RRC,RANGE RESOURCES CORP,0000315852,Energy,,,,2007-12-21,2018-06-18
RRD,,0000029669,Communication Services,,,,1996-01-02,2012-12-12
RSG,Republic Services,0001060391,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",1998 (1981),2008-12-05,
RSHCQ,,0000096289,Consumer Discretionary,,,,1996-01-02,2011-07-01
RTN,,0001047122,Industrials,,,,1996-01-02,2020-04-06
RTX,RTX Corporation,0000101829,Industrials,Aerospace & Defense,"Waltham, Massachusetts",1922,1996-01-02,2020-04-03
RVTY,Revvity,0000031791,Health Care,Health Care Equipment,"Waltham, Massachusetts",1937,1996-01-02,2023-05-16
RX,,0001058083,Information Technology,,,,1996-11-04,2010-02-26
RYAN,"RYAN SPECIALTY HOLDINGS, INC.",0001849253,Financials,,,,1996-01-02,1997-01-02
S,"SentinelOne, Inc.",0001583708,Information Technology,,,,1996-01-02,2013-07-09
SAF,,0000086104,Financials,,,,1996-01-02,2008-09-23
SANM,SANMINA CORP,0000897723,Information Technology,,,,2000-06-21,2007-07-02
SAPE,,0001008817,Information Technology,,,,2000-05-05,2002-05-13
SATS,EchoStar,0001415404,Communication Services,Wireless Telecommunication Services,"Englewood, Colorado",2008,2026-03-23,
SBAC,SBA Communications,0001034054,Real Estate,Telecom Tower REITs,"Boca Raton, Florida",1989,2017-09-01,
SBL,,0000278352,Information Technology,,,,2000-12-11,2007-01-10
SBUX,Starbucks,0000829224,Consumer Discretionary,Restaurants,"Seattle, Washington",1971,2000-06-08,
SCG,,0000754737,Utilities,,,,2009-01-02,2019-01-02
SCHW,Charles Schwab Corporation,0000316709,Financials,Investment Banking & Brokerage,"Westlake, Texas",1971,1997-06-02,
SCI,SERVICE CORP INTERNATIONAL,0000089089,Consumer Discretionary,,,,1996-01-02,2000-03-16
SDS,,0000789388,Information Technology,,,,2002-07-22,2005-08-12
SE,Sea Ltd,0001373835,Energy,,,,2007-01-03,2017-02-27
SEDG,"SOLAREDGE TECHNOLOGIES, INC.",0001419612,Information Technology,,,,2021-12-20,2023-10-18
SEE,,0001012100,Materials,,,,1998-04-01,2023-10-18
SEG,Seaport Entertainment Group Inc.,0002009684,Communication Services,,,,1996-08-16,2000-11-22
SFA,,0000087777,Information Technology,,,,1996-01-02,2006-02-27
SGID,,0000802301,Information Technology,,,,1996-01-02,2000-06-21
SGP,"SpyGlass Pharma, Inc.",0001778922,Health Care,,,,1996-01-02,2009-11-04
SHLD,,0001310067,Consumer Discretionary,,,,2005-03-28,2012-09-05
SHW,Sherwin-Williams,0000089800,Materials,Specialty Chemicals,"Cleveland, Ohio",1866,1996-01-02,
SIAL,,0000090185,Industrials,,,,1996-01-02,2015-11-18
SIG,SIGNET JEWELERS LTD,0000832988,Consumer Discretionary,,,,2015-07-29,2018-03-19
SII,SPROTT INC.,0000721083,Industrials,,,,2006-10-02,2010-08-27
SIVB,,0000719739,Financials,,,,2018-03-19,2023-03-15
SJM,J.M. Smucker Company (The),0000091419,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",1897,2008-11-06,
SLB,Schlumberger,0000087347,Energy,Oil & Gas Equipment & Services,"Houston, Texas",1926,1996-01-02,
SLG,SL GREEN REALTY CORP,0001040971,Real Estate,,,,2015-03-23,2021-03-22
SLM,SLM Corp,0001032033,Financials,,,,1998-07-01,2014-05-01
SLR,,0000835541,Information Technology,,,,1998-12-31,2007-10-02
SMCI,Supermicro,0001375365,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",1993,2024-03-18,
SMI,,0000093102,Consumer Discretionary,,,,1996-01-02,2000-12-12
SNA,Snap-on,0000091440,Industrials,Industrial Machinery & Supplies & Components,"Kenosha, Wisconsin",1920,1996-01-02,
SNDK,Sandisk,0002023554,Information Technology,"Technology Hardware, Storage & Peripherals","Milpitas, California",1988,2006-04-20,2016-05-12
SNI,,0001430602,Communication Services,,,,2008-07-01,2018-03-07
SNPS,Synopsys,0000883241,Information Technology,Application Software,"Sunnyvale, California",1986,2017-03-16,
SNV,,0000018349,Financials,,,,1997-12-01,2008-01-02
SO,Southern Company,0000092122,Utilities,Electric Utilities,"Atlanta, Georgia",1945,1996-01-02,
SOLS,Solstice Advanced Materials Inc.,0002064953,Materials,,,,2025-10-30,2025-12-22
SOLV,Solventum,0001964738,Health Care,Health Care Technology,"Saint Paul, Minnesota",2023,2024-04-03,
SOV,,0000811830,Financials,,,,2004-07-01,2009-01-30
SPG,Simon Property Group,0001063761,Real Estate,Retail REITs,"Indianapolis, Indiana",2003,2002-06-26,
SPGI,S&P Global,0000064040,Financials,Financial Exchanges & Data,"New York City, New York",1917,1996-01-02,
SPLS,,0000791519,Consumer Discretionary,,,,1998-10-07,2017-09-13
SRCL,,0000861878,Utilities,,,,2008-11-19,2018-12-03
SRE,Sempra,0001032208,Utilities,Multi-Utilities,"San Diego, California",1998,1998-06-29,
SSP,E.W. SCRIPPS Co,0000832428,Communication Services,,,,2005-12-20,2008-07-01
STE,Steris,0001757898,Health Care,Health Care Equipment,"Dublin, Ireland",1985,2019-12-23,
STI,Solidion Technology Inc.,0001881551,Industrials,,,,1996-01-02,2019-12-09
STJ,,0000203077,Health Care,,,,1996-01-02,2017-01-05
STLD,Steel Dynamics,0001022671,Materials,Steel,"Fort Wayne, Indiana",1993,2022-12-22,
STR,,0000751652,Energy,,,,2006-12-01,2010-07-01
STT,State Street Corporation,0000093751,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",1792,1997-08-18,
STX,Seagate Technology,0001137789,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",1979,2012-07-02,
STZ,Constellation Brands,0000016918,Consumer Staples,Distillers & Vintners,"Rochester, New York",1945,2005-07-05,
SUN,Sunoco LP,0001552275,Energy,,,,1996-01-02,2012-10-05
SUNEQ,,0000945436,Information Technology,,,,2007-05-31,2011-12-19
SVU,,0000095521,Consumer Staples,,,,1996-01-02,2012-05-01
SW,Smurfit Westrock,0002005951,Materials,Paper & Plastic Packaging Products & Materials,"Dublin, Ireland",1934,2024-07-08,
SWK,Stanley Black & Decker,0000093556,Industrials,Industrial Machinery & Supplies & Components,"New Britain, Connecticut",1843,1996-01-02,
SWKS,Skyworks Solutions,0000004127,Information Technology,Semiconductors,"Irvine, California",2002,2015-03-12,
SWN,,0000007332,Energy,,,,2008-06-06,2017-04-04
SWY,,0000086144,Consumer Staples,,,,1998-11-13,2015-01-27
SXCL,,0000709804,Energy,,,,1999-10-01,2001-05-14
