company_name|entry_year|adjudicated_class|is_genuinely_new|rationale|source_url
Marathon Petroleum|2011|spin_off|no|Refining spin-off from Marathon Oil 2011|https://en.wikipedia.org/wiki/Marathon_Petroleum
News Corp (Class B)|2015|spin_off|no|Publishing spun off from old News Corp 2013|https://en.wikipedia.org/wiki/News_Corp
News Corp (Class A)|2013|spin_off|no|Publishing spun off from old News Corp 2013|https://en.wikipedia.org/wiki/News_Corp
Otis Worldwide|2020|spin_off|no|Elevator spin-off from United Technologies 2020|https://en.wikipedia.org/wiki/Otis_Worldwide
Philip Morris International|2008|spin_off|no|International tobacco spun off from Altria 2008|https://en.wikipedia.org/wiki/Philip_Morris_International
Paramount Skydance Corporation|2025|merger|no|Paramount Global + Skydance merger 2025|https://en.wikipedia.org/wiki/Paramount_Skydance
Phillips 66|2012|spin_off|no|Downstream spin-off from ConocoPhillips 2012|https://en.wikipedia.org/wiki/Phillips_66
Solventum|2024|spin_off|no|Health-care spin-off from 3M 2024|https://en.wikipedia.org/wiki/Solventum
Sempra|1998|merger|no|Merger of Pacific Enterprises and Enova 1998|https://www.fundinguniverse.com/company-histories/sempra-energy-history/
TKO Group Holdings|2025|merger|no|WWE + UFC merger 2023, added to S&P 2025|https://en.wikipedia.org/wiki/TKO_Group_Holdings
Veralto|2023|spin_off|no|Water-quality spin-off from Danaher 2023|https://en.wikipedia.org/wiki/Veralto
Warner Bros. Discovery|2022|merger|no|Discovery + WarnerMedia merger 2022|https://en.wikipedia.org/wiki/Warner_Bros._Discovery
Xylem Inc.|2011|spin_off|no|Water-tech spin-off from ITT 2011|https://en.wikipedia.org/wiki/Xylem_Inc.
Yum! Brands|1997|spin_off|no|Restaurants spun off from PepsiCo 1997|https://en.wikipedia.org/wiki/Yum!_Brands
Vodafone Group|1991|spin_off|no|Demerged from Racal Electronics 1991|https://en.wikipedia.org/wiki/Vodafone
Sage Group|1999|genuinely_new|yes|Software firm founded 1981, organic rise|https://en.wikipedia.org/wiki/Sage_Group
WPP Group|1998|genuinely_new|yes|New marketing group built from 1985, organic|https://en.wikipedia.org/wiki/WPP_plc
Granada Media|2000|spin_off|no|Carve-out float of Granada media division 2000|https://en.wikipedia.org/wiki/Granada_plc
Experian Group|2006|spin_off|no|Demerged from GUS plc 2006|https://en.wikipedia.org/wiki/Experian
Admiral Group|2007|genuinely_new|yes|Motor insurer founded 1993, IPO 2004, organic|https://en.wikipedia.org/wiki/Admiral_Group
Tullow Oil|2007|genuinely_new|yes|Oil explorer founded 1985, organic rise|https://en.wikipedia.org/wiki/Tullow_Oil
Intertek Group|2009|established_organic_riser|no|Testing business roots 1885, organic rise|https://en.wikipedia.org/wiki/Intertek
DCC|2015|established_organic_riser|no|Founded 1976, organic rise|https://en.wikipedia.org/wiki/DCC_plc
Micro Focus International|2016|established_organic_riser|no|Founded 1976, organic rise|https://en.wikipedia.org/wiki/Micro_Focus
Mondi|2013|spin_off|no|Demerged from Anglo American 2007|https://en.wikipedia.org/wiki/Mondi
Rightmove|2018|genuinely_new|yes|Property portal founded 2000, organic|https://en.wikipedia.org/wiki/Rightmove
Ocado Group|2018|genuinely_new|yes|Online grocer founded 2000, organic|https://en.wikipedia.org/wiki/Ocado
Avast|2020|ipo_established|no|Czech security firm founded 1988, IPO 2018|https://en.wikipedia.org/wiki/Avast
Mediclinic International plc|2016|merger|no|Reverse takeover of Al Noor Hospitals 2016|https://en.wikipedia.org/wiki/Al_Noor_Hospitals
Coca-Cola Europacific|2025|merger|no|Bottler from 2016 merger + Amatil 2021|https://en.wikipedia.org/wiki/Coca-Cola_Europacific_Partners
Beazley|2022|established_organic_riser|no|Insurer founded 1986, organic rise|https://en.wikipedia.org/wiki/Beazley_plc
Lion Finance Group|2026|established_organic_riser|no|Renamed Bank of Georgia Group, organic rise|https://en.wikipedia.org/wiki/Lion_Finance_Group
Airtel Africa|2022|spin_off|no|Carve-out of Bharti Airtel Africa, IPO 2019|https://en.wikipedia.org/wiki/Airtel_Africa
Aggreko|2009|established_organic_riser|no|Founded 1962, organic rise|https://en.wikipedia.org/wiki/Aggreko
Akamai Technologies|2007|genuinely_new|yes|Founded 1998, IPO 1999, organic|https://en.wikipedia.org/wiki/Akamai_Technologies
American Tower|2007|spin_off|no|Spun off from American Radio Systems 1998|https://en.wikipedia.org/wiki/American_Tower
Amazon|2005|genuinely_new|yes|Founded 1994, IPO 1997, organic|https://en.wikipedia.org/wiki/Amazon_(company)
Capital One|1998|spin_off|no|Spun off from Signet Financial 1994-95|https://en.wikipedia.org/wiki/Capital_One
Salesforce|2008|genuinely_new|yes|Founded 1999, IPO 2004, organic|https://en.wikipedia.org/wiki/Salesforce
Cognizant|2006|spin_off|no|Carved out of Dun & Bradstreet, IPO 1998|https://en.wikipedia.org/wiki/Cognizant
Digital Realty|2016|ipo_established|no|GI Partners portfolio, REIT IPO 2004|https://en.wikipedia.org/wiki/Digital_Realty
eBay Inc.|2002|genuinely_new|yes|Founded 1995, IPO 1998, organic|https://en.wikipedia.org/wiki/EBay
Elevance Health|2022|reincorporation_rename|no|2022 rename of Anthem Inc.|https://en.wikipedia.org/wiki/Elevance_Health
Expedia Group|2007|spin_off|no|Spun off from IAC 2005|https://en.wikipedia.org/wiki/Expedia_Group
Diamondback Energy|2018|genuinely_new|yes|Founded 2007, IPO 2012, organic shale E&P|https://en.wikipedia.org/wiki/Diamondback_Energy
Alphabet Inc. (Class A)|2006|genuinely_new|yes|Entry was Google (founded 1998, IPO 2004)|https://en.wikipedia.org/wiki/Alphabet_Inc.
Huntington Ingalls Industries|2018|spin_off|no|Spun off from Northrop Grumman 2011|https://en.wikipedia.org/wiki/Huntington_Ingalls_Industries
Robinhood Markets|2025|genuinely_new|yes|Founded 2013, IPO 2021, organic fintech|https://en.wikipedia.org/wiki/Robinhood_Markets
Intercontinental Exchange|2007|genuinely_new|yes|Founded 2000, IPO 2005, organic|https://www.ice.com/about/history
Invitation Homes|2022|ipo_established|no|Blackstone SFR vehicle 2012, IPO 2017|https://en.wikipedia.org/wiki/Invitation_Homes
Keysight Technologies|2018|spin_off|no|Spun off from Agilent 2014|https://en.wikipedia.org/wiki/Keysight
Lumentum|2026|spin_off|no|Spun off from JDS Uniphase 2015|https://en.wikipedia.org/wiki/Lumentum
LyondellBasell|2012|merger|no|Lyondell + Basell merger 2007|https://en.wikipedia.org/wiki/LyondellBasell
Live Nation Entertainment|2019|merger|no|Live Nation + Ticketmaster merger 2010|https://en.wikipedia.org/wiki/Live_Nation_Entertainment
Mosaic Company (The)|2011|merger|no|IMC Global + Cargill crop nutrition 2004|https://en.wikipedia.org/wiki/The_Mosaic_Company
Moderna|2021|genuinely_new|yes|Founded 2010, IPO 2018, organic biotech|https://en.wikipedia.org/wiki/Moderna
Norwegian Cruise Line Holdings|2017|ipo_established|no|Founded 1966, PE-owned, IPO 2013|https://en.wikipedia.org/wiki/Norwegian_Cruise_Line
NetApp|1999|genuinely_new|yes|Founded 1992, IPO 1995, organic|https://en.wikipedia.org/wiki/NetApp
Nvidia|2001|genuinely_new|yes|Founded 1993, IPO 1999, organic|https://en.wikipedia.org/wiki/Nvidia
Omnicom Group|1997|merger|no|BBDO+DDB+Needham merger 1986|https://en.wikipedia.org/wiki/Omnicom_Group
Quanta Services|2009|genuinely_new|yes|Founded 1997, IPO 1998, organic|https://en.wikipedia.org/wiki/Quanta_Services
Republic Services|2008|merger|no|Index-scale via Allied Waste merger 2008|https://en.wikipedia.org/wiki/Republic_Services
Synchrony Financial|2015|spin_off|no|Spun off from GE Capital 2014-15|https://en.wikipedia.org/wiki/Synchrony_Financial
Vici Properties|2022|spin_off|no|Spun off from Caesars 2017|https://en.wikipedia.org/wiki/Vici_Properties
Verisign|2006|genuinely_new|yes|Founded 1995, IPO 1998, organic|https://en.wikipedia.org/wiki/Verisign
Vertiv|2026|ipo_established|no|Ex-Emerson Network Power, SPAC 2020|https://en.wikipedia.org/wiki/Vertiv
Vistra Corp.|2024|reincorporation_rename|no|Successor to Energy Future/TXU 2016|https://en.wikipedia.org/wiki/Vistra_Corp.
Ventas|2009|spin_off|no|REIT spun off from Vencor 1998|https://en.wikipedia.org/wiki/Ventas
Willis Towers Watson|2022|merger|no|Willis + Towers Watson merger 2016|https://en.wikipedia.org/wiki/Willis_Towers_Watson
Wynn Resorts|2008|genuinely_new|yes|Founded 2002, IPO 2002, organic|https://en.wikipedia.org/wiki/Wynn_Resorts
Wellcome|1986|demutualisation_ipo|no|Wellcome Trust floated Burroughs Wellcome 1986|https://en.wikipedia.org/wiki/Wellcome_(pharmaceutical_company)
Thames Water|1990|demutualisation_ipo|no|1989 water privatisation flotation|https://en.wikipedia.org/wiki/Thames_Water
LucasVarity|1996|merger|no|1996 merger of Lucas Industries and Varity|https://en.wikipedia.org/wiki/LucasVarity
British American Tobacco|1998|reincorporation_redomicile|no|New parent after BAT Industries demerger 1998|https://en.wikipedia.org/wiki/British_American_Tobacco
Allied Zurich|1998|merger|no|1998 BAT financial services + Zurich merger|https://en.wikipedia.org/wiki/Zurich_Insurance_Group
Dimension Data Holdings|2000|reincorporation_redomicile|no|UK holdco for existing SA IT firm, London listing 2000|https://www.fundinguniverse.com/company-histories/dimension-data-holdings-plc-history/
Lattice Group PLC|2000|spin_off|no|Demerged from BG Group 2000|https://en.wikipedia.org/wiki/Lattice_Group
Compass Group|2001|reincorporation_redomicile|no|Standalone via Granada Compass demerger 2001|https://en.wikipedia.org/wiki/Compass_Group
mmO2|2001|spin_off|no|Demerged from BT 2001|https://en.wikipedia.org/wiki/O2_(UK)
Thomas Cook Group|2007|merger|no|2007 merger Thomas Cook AG + MyTravel|https://en.wikipedia.org/wiki/Thomas_Cook_Group
Essar energy|2010|reincorporation_redomicile|no|UK holdco for Essar Indian energy assets, IPO 2010|https://en.wikipedia.org/wiki/Essar_Energy
Merlin Entertainments|2015|established_organic_riser|no|PE-backed group IPO 2013, organic rise 2015|https://en.wikipedia.org/wiki/Merlin_Entertainments
Informa|2016|established_organic_riser|no|Established publisher, organic rise 2016|https://en.wikipedia.org/wiki/Informa
Auto Trader Group|2018|established_organic_riser|no|Founded 1977, IPO 2015, organic rise 2018|https://en.wikipedia.org/wiki/Auto_Trader_Group
Haleon|2022|spin_off|no|Demerged from GSK 2022|https://en.wikipedia.org/wiki/Haleon
Metlen Energy & Metals|2025|reincorporation_redomicile|no|Greek Mytilineos redomiciled to London 2025|https://en.wikipedia.org/wiki/Metlen_Energy_%26_Metals
HBOS|2001|merger|no|2001 merger of Halifax and Bank of Scotland|https://en.wikipedia.org/wiki/HBOS
