company_number,company_name,legal_birth_year,legal_birth_date_exact,legal_birth_precision,legal_birth_source_url,operating_birth_year,operating_birth_precision,operating_birth_type,operating_birth_source_url,operating_birth_context,audit_status,verification,operating_birth_date
07118170,Avast,2010.0,2010-01-07,day,https://find-and-update.company-information.service.gov.uk/company/07118170,1988.0,year,organic_business,https://en.wikipedia.org/wiki/Avast,Avast was founded in 1988 as Alwil Software; 2010 is a later UK corporate vehicle.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
02937296,Aveva Group,1994.0,1994-06-09,day,https://find-and-update.company-information.service.gov.uk/company/02937296,1967.0,year,business_origin,https://en.wikipedia.org/wiki/Aveva,AVEVA traces to the 1967 CADCentre at Cambridge; 1994 is a later company incorporation.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
00233112,B.A.T. Industries Plc,1928.0,1928-09-03,day,https://find-and-update.company-information.service.gov.uk/company/00233112,1976.0,year,holding_company_reorganisation,https://download.industrydocuments.ucsf.edu/x/h/f/j/xhfj0212/xhfj0212.pdf,B.A.T Industries operating group structure was created in 1976; underlying BAT tobacco business dates to 1902.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
05757208,BAA,1965.0,,year,https://www.gracesguide.co.uk/British_Airports_Authority,1965.0,year,,https://www.gracesguide.co.uk/British_Airports_Authority,source-read verified (CONFIRMED),VERIFIED_SOURCE_READ,reliable_verified,
03196209,BHP Group Plc,1885.0,,month,https://en.wikipedia.org/wiki/BHP,1885.0,day,,https://en.wikipedia.org/wiki/BHP,source-read verified (CONFIRMED),VERIFIED_SOURCE_READ,reliable_verified,1885-08-13
16237399,BICC,1870.0,,year,https://en.wikipedia.org/wiki/British_Insulated_Callender's_Cables,1870.0,year,predecessor_continuity,https://collection.sciencemuseumgroup.org.uk/people/cp20292/british-insulated-callenders-cables-plc,"Science Museum Group dates BICC lineage to Callender's Cable & Construction Company, formed in 1870.",CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
00337663,BOC,1938.0,1938-03-08,day,https://find-and-update.company-information.service.gov.uk/company/00337663,1886.0,year,organic_business,https://en.wikipedia.org/wiki/BOC_(company),Brin's Oxygen Company began operating in 1886.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
00102498,BP,1909.0,1909-04-14,day,https://find-and-update.company-information.service.gov.uk/company/00102498,1909.0,year,organic_business,https://www.bp.com/content/dam/bp/business-sites/en/global/corporate/pdfs/investors/bp-foi-2006-2010-introduction-and-history.pdf,Anglo-Persian Oil Company was incorporated in 1909 to commercialise the Masjid-i-Suleiman discovery.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
00147271,BPB,1917.0,1917-04-24,day,https://find-and-update.company-information.service.gov.uk/company/00147271,1917.0,year,organic_business,https://en.wikipedia.org/wiki/BPB_plc,British Plaster Board operating business was established in 1917.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
04190816,BT Group,2001.0,2001-03-30,day,https://find-and-update.company-information.service.gov.uk/company/04190816,,month,holding_company_reorganisation,https://find-and-update.company-information.service.gov.uk/company/04190816,BT Group plc was inserted as a new holding company in 2001; British Telecommunications' business predates it.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
02342138,Babcock International Group,1891.0,,month,https://en.wikipedia.org/wiki/Babcock_%26_Wilcox_Ltd,1891.0,year,,https://en.wikipedia.org/wiki/Babcock_%26_Wilcox_Ltd,source-read verified (CONFIRMED),VERIFIED_SOURCE_READ,reliable_verified,
00395826,Balfour Beatty,1945.0,1945-05-31,day,https://find-and-update.company-information.service.gov.uk/company/00395826,,month,organic_business,https://www.balfourbeatty.com/about-us/our-story/,Balfour Beatty opened for business on 12 January 1909; the supplied 1945 company was not the original operating company.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
SC327000,Bank of Scotland,1695.0,,month,https://en.wikipedia.org/wiki/Bank_of_Scotland,1695.0,day,,https://en.wikipedia.org/wiki/Bank_of_Scotland,source-read verified (CONFIRMED),VERIFIED_SOURCE_READ,reliable_verified,1695-07-17
00048839,Barclays,1896.0,1896-07-20,day,https://find-and-update.company-information.service.gov.uk/company/00048839,,month,predecessor_continuity,https://www.banking.barclaysus.com/who-we-are.html?-717518830=&refid=BBDBDBHBS001901,Barclays traces continuously to Freame & Gould beginning banking on 17 November 1690; 1896 is a later incorporated entity.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
15998687,Barratt Developments,1958.0,,year,https://en.wikipedia.org/wiki/Barratt_Developments,1958.0,year,,https://en.wikipedia.org/wiki/Barratt_Developments,source-read verified (CONFIRMED),VERIFIED_SOURCE_READ,reliable_verified,
09763575,Beazley,2015.0,2015-09-04,day,https://find-and-update.company-information.service.gov.uk/company/09763575,1986.0,year,organic_business,https://en.wikipedia.org/wiki/Beazley_Group,Beazley was founded in 1986; 2015 is a later plc holding-company incorporation.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
00227531,Beecham Group,1928.0,1928-01-23,day,https://find-and-update.company-information.service.gov.uk/company/00227531,1859.0,year,organic_business,https://www.gsk.com/en-gb/company/history-and-heritage/,Beecham's factory/business dates to 1859 (with the founder's shop from 1848); 1928 is a later incorporated entity.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
02707046,Berisford (S & W),1851.0,,year,https://en.wikipedia.org/wiki/Enodis,1851.0,year,organic_business,https://www.sec.gov/Archives/edgar/data/61986/000119312516467650/d133002dex991.htm,SEC-filed company history states Samuel and William Berisford founded the business in 1851.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
07767799,Blue Arrow,1959.0,,month,https://en.wikipedia.org/wiki/Blue_Arrow,1959.0,day,,https://en.wikipedia.org/wiki/Blue_Arrow,source-read verified (CONFIRMED),VERIFIED_SOURCE_READ,reliable_verified,1959-11-10
09876996,Bowater,1881.0,,year,https://en.wikipedia.org/wiki/William_Vansittart_Bowater,1881.0,year,,https://en.wikipedia.org/wiki/William_Vansittart_Bowater,source-read verified (CONFIRMED),VERIFIED_SOURCE_READ,reliable_verified,
03938288,Bradford & Bingley,2000.0,2000-02-28,day,https://find-and-update.company-information.service.gov.uk/company/03938288,1964.0,year,merger_created_business,https://en.wikipedia.org/wiki/Bradford_%26_Bingley,Bradford & Bingley Building Society was formed by the 1964 merger.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
01470151,British Aerospace,1979.0,1979-12-31,day,https://find-and-update.company-information.service.gov.uk/company/01470151,,month,merger_created_business,https://en.wikipedia.org/wiki/British_Aerospace,British Aerospace was formed on 29 Apr 1977 from nationalised aerospace businesses.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
01777777,British Airways,1983.0,1983-12-13,day,https://find-and-update.company-information.service.gov.uk/company/01777777,1974.0,year,merger_created_business,https://en.wikipedia.org/wiki/History_of_British_Airways,"The present British Airways business was formed in 1974 by combining BOAC, BEA and regional airlines.",CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
03407696,British American Tobacco,1997.0,1997-07-23,day,https://find-and-update.company-information.service.gov.uk/company/03407696,1902.0,year,merger_joint_venture_creation,https://www.bat.com/content/dam/batcom/global/main-nav/investors-and-reporting/reporting/combined-annual-and-esg-report/previous-annual-reporting/Annual-Report-2012-43-mb.pdf,BAT was formed in 1902 as a joint venture between Imperial Tobacco and American Tobacco; 1997 is a later holding-company vehicle.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
SC270184,British Energy Group,1995.0,,year,https://en.wikipedia.org/wiki/British_Energy,1995.0,year,,https://en.wikipedia.org/wiki/British_Energy,source-read verified (CONFIRMED),VERIFIED_SOURCE_READ,reliable_verified,
08811254,British Gas,1812.0,,month,https://en.wikipedia.org/wiki/Gas_Light_and_Coke_Company,1812.0,year,predecessor_continuity,https://en.wikipedia.org/wiki/Gas_Light_and_Coke_Company,,PASS_LINEAGE_RECLASSIFIED,reliable_committed,
00621920,British Land Co.,1959.0,1959-02-26,day,https://find-and-update.company-information.service.gov.uk/company/00621920,1856.0,year,organic_business,https://www.annualreports.co.uk/HostedData/AnnualReportArchive/b/LSE_BLND_2006.pdf,British Land states it was formed in 1856; the supplied 1959 CH company is a later legal entity.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
09399778,British Sky Broadcasting,1990.0,,month,https://en.wikipedia.org/wiki/Sky_UK,1990.0,day,,https://en.wikipedia.org/wiki/Sky_UK,source-read verified (CONFIRMED),VERIFIED_SOURCE_READ,reliable_verified,1990-11-02
12303256,British Steel Plc,1967.0,,year,https://en.wikipedia.org/wiki/British_Steel_(1967%E2%80%931999),1967.0,year,,https://en.wikipedia.org/wiki/British_Steel_(1967%E2%80%931999),source-read verified (CONFIRMED),VERIFIED_SOURCE_READ,reliable_verified,
01800000,British Telecom,1984.0,1984-04-01,day,https://find-and-update.company-information.service.gov.uk/company/01800000,,month,state_corporation_creation,https://www.bt.com/bt-plc/assets/documents/about-bt/our-history/bt-archives/information-sheets-and-timelines/bt-and-predecessors.pdf,British Telecommunications began operating as a separate public corporation on 1 Oct 1981.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
SC077750,Britoil,1982.0,1982-03-04,day,https://find-and-update.company-information.service.gov.uk/company/SC077750,1982.0,year,privatisation_successor,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/731309/Beatrice_Environmental_Assessment_Report.pdf,UK government material records that BNOC transferred its business to Britoil in 1982.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
00358948,Bunzl,1940.0,1940-01-22,day,https://find-and-update.company-information.service.gov.uk/company/00358948,1854.0,year,organic_business,https://en.wikipedia.org/wiki/Bunzl,Bunzl traces to the trading business registered by Moritz Bunzl in 1854.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
03458224,Burberry Group,1997.0,1997-10-30,day,https://find-and-update.company-information.service.gov.uk/company/03458224,1856.0,year,organic_business,https://www.burberryplc.com/content/dam/burberryplc/corporate/documents/investors/annual-report-archive/annual-report.pdf,Thomas Burberry founded the business in 1856; 1997 is the listed-group holding company.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
06208775,Burmah Oil,1886.0,,year,https://en.wikipedia.org/wiki/Burmah_Oil,1886.0,year,,https://en.wikipedia.org/wiki/Burmah_Oil,source-read verified (CONFIRMED),VERIFIED_SOURCE_READ,reliable_verified,
00930965,CMG,1968.0,1968-04-24,day,https://find-and-update.company-information.service.gov.uk/company/00930965,1964.0,year,organic_business,https://en.wikipedia.org/wiki/CMG_(company),CMG was founded in 1964.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
02983774,Cable & Wireless,1994.0,1994-10-21,day,https://find-and-update.company-information.service.gov.uk/company/02983774,1869.0,year,predecessor_continuity,https://en.wikipedia.org/wiki/Cable_%26_Wireless_plc,Cable & Wireless traces to telegraph companies founded in 1869; 1994 is a later legal vehicle.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
09909999,Cable & Wireless Communications,1869.0,,year,https://en.wikipedia.org/wiki/Cable_%26_Wireless_plc,1869.0,year,,https://en.wikipedia.org/wiki/Cable_%26_Wireless_plc,source-read verified (CONFIRMED),VERIFIED_SOURCE_READ,reliable_verified,
SC787001,Cairn Energy,1981.0,,year,https://en.wikipedia.org/wiki/Capricorn_Energy,1981.0,year,,https://en.wikipedia.org/wiki/Capricorn_Energy,source-read verified (CONFIRMED),VERIFIED_SOURCE_READ,reliable_verified,
04191122,Canary Wharf Group,1993.0,,year,https://en.wikipedia.org/wiki/Canary_Wharf_Group,1993.0,year,,https://en.wikipedia.org/wiki/Canary_Wharf_Group,source-read verified (CONFIRMED),VERIFIED_SOURCE_READ,reliable_verified,
02081330,Capita Group,1986.0,1986-12-08,day,https://find-and-update.company-information.service.gov.uk/company/02081330,1984.0,year,organic_business,https://en.wikipedia.org/wiki/Capita,Capita began operating in 1984 as a CIPFA division before its later management buyout.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
12966997,Caradon PLC,1985.0,,year,https://www.encyclopedia.com/books/politics-and-business-magazines/caradon-plc,1921.0,year,,https://www.encyclopedia.com/books/politics-and-business-magazines/caradon-plc,source-read verified (CORRECTED),VERIFIED_SOURCE_READ,reliable_verified,
00348312,Carlton Communications,1939.0,1939-01-11,day,https://find-and-update.company-information.service.gov.uk/company/00348312,1982.0,year,organic_business,https://en.wikipedia.org/wiki/Carlton_Communications,Michael Green bought Transvideo and created Carlton Television Studios in 1982.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
06534088,Carphone Warehouse,1989.0,,year,https://en.wikipedia.org/wiki/Carphone_Warehouse,1989.0,year,,https://en.wikipedia.org/wiki/Carphone_Warehouse,source-read verified (CONFIRMED),VERIFIED_SOURCE_READ,reliable_verified,
02159282,Celltech Group,1987.0,1987-08-28,day,https://find-and-update.company-information.service.gov.uk/company/02159282,,month,organic_business,https://pubmed.ncbi.nlm.nih.gov/2573092/,Celltech was formed in November 1980; the 1987 CH incorporation is a later corporate form.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
03033654,Centrica,1995.0,1995-03-16,day,https://find-and-update.company-information.service.gov.uk/company/03033654,,month,demerger_created_company,https://www.centrica.com/media/1364/centrica-annual-report-and-accounts-1997.pdf,Centrica became the separate operating group on the BG demerger on 17 February 1997.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
09717350,Coca-Cola Europacific,2015.0,2015-08-04,day,https://find-and-update.company-information.service.gov.uk/company/09717350,,month,merger_created_business,https://en.wikipedia.org/wiki/Coca-Cola_Europacific_Partners,Coca-Cola European Partners was formed on 28 May 2016 by combining three bottlers; the 2015 CH vehicle preceded completion.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
11466170,Compass,1941.0,,year,https://www.fundinguniverse.com/company-histories/compass-group-plc-history/,1941.0,year,,https://www.fundinguniverse.com/company-histories/compass-group-plc-history/,source-read verified (WRONG_SOURCE),VERIFIED_SOURCE_READ,reliable_verified,
04083914,Compass Group,2000.0,2000-09-29,day,https://find-and-update.company-information.service.gov.uk/company/04083914,1941.0,year,organic_business,https://www.fundinguniverse.com/company-histories/compass-group-plc-history/,Compass traces its operating business to 1941; 2000 is a later holding-company incorporation.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
03110569,Computacenter,1981.0,,month,https://en.wikipedia.org/wiki/Computacenter,1981.0,year,,https://en.wikipedia.org/wiki/Computacenter,source-read verified (CONFIRMED),VERIFIED_SOURCE_READ,reliable_verified,
10361298,ConvaTec Group,2016.0,2016-09-06,day,https://find-and-update.company-information.service.gov.uk/company/10361298,1978.0,year,business_origin,https://en.wikipedia.org/wiki/ConvaTec,ConvaTec's wound/ostomy business was established in 1978 within E. R. Squibb; later plc incorporation is a holding vehicle.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
16793203,Cookson Group,1704.0,,year,https://en.wikipedia.org/wiki/Vesuvius_plc,1704.0,year,predecessor_continuity,https://www.sec.gov/Archives/edgar/data/905420/000102140803007502/d20f.htm,Cookson's SEC filing states the Group traces its history back to 1704.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
03811373,Corus Group,1999.0,1999-07-16,day,https://find-and-update.company-information.service.gov.uk/company/03811373,1999.0,year,merger_created_business,https://publications.parliament.uk/pa/cm200405/cmselect/cmwelaf/329/329ii.pdf,Corus was created in October 1999 by the merger of British Steel and Koninklijke Hoogovens.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
SC003388,Coutaulds,1897.0,1897-01-06,day,https://find-and-update.company-information.service.gov.uk/company/SC003388,1794.0,year,organic_business,https://en.wikipedia.org/wiki/Courtaulds,Courtaulds was established in 1794.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
00206132,Croda International,1925.0,1925-05-22,day,https://find-and-update.company-information.service.gov.uk/company/00206132,1925.0,year,organic_business,https://www.croda.com/en-gb/about-us/our-heritage,Croda was founded in 1925.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
04709270,DCC,2003.0,2003-03-24,day,https://find-and-update.company-information.service.gov.uk/company/04709270,1976.0,year,organic_business,https://en.wikipedia.org/wiki/DCC_plc,DCC was founded in 1976; 2003 is a later plc legal vehicle.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
00184594,Daily Mail & General Trust,1922.0,1922-09-27,day,https://find-and-update.company-information.service.gov.uk/company/00184594,,month,predecessor_continuity,https://en.wikipedia.org/wiki/Daily_Mail_and_General_Trust,Uses the launch of the Daily Mail operating business in May 1896; DMGT holding company came later.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
10274117,Dalgety,1846.0,,year,https://en.wikipedia.org/wiki/Dalgety_plc,1846.0,circa_year,,https://en.wikipedia.org/wiki/Dalgety_plc,source-read verified (CONFIRMED),VERIFIED_SOURCE_READ,reliable_verified,
13264637,Darktrace,2021.0,2021-03-12,day,https://find-and-update.company-information.service.gov.uk/company/13264637,2013.0,year,organic_business,https://en.wikipedia.org/wiki/Darktrace,Darktrace was founded in Cambridge in 2013; 2021 is the IPO holding-company incorporation.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
03834125,De La Rue,1821.0,,year,https://en.wikipedia.org/wiki/De_La_Rue,1821.0,year,,https://en.wikipedia.org/wiki/De_La_Rue,source-read verified (CONFIRMED),VERIFIED_SOURCE_READ,reliable_verified,
03369634,Dechra Pharmaceuticals,1997.0,1997-05-13,day,https://find-and-update.company-information.service.gov.uk/company/03369634,,month,management_buyout_creation,https://en.wikipedia.org/wiki/Dechra_Pharmaceuticals,Dechra was founded via a 1997 management buyout from Lloyds Chemists.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
00023307,Diageo,1886.0,1886-10-21,day,https://find-and-update.company-information.service.gov.uk/company/00023307,,month,merger_created_business,https://media.diageo.com/diageo-corporate-media/media/d23peknl/diageo-celebrates-20-years-final_18-december-2017.pdf,Diageo was created in December 1997 by the Guinness/Grand Metropolitan merger.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
03704278,Dimension Data Holdings,1999.0,1999-01-28,day,https://find-and-update.company-information.service.gov.uk/company/03704278,1983.0,year,organic_business,https://en.wikipedia.org/wiki/Dimension_Data,Dimension Data was founded in 1983.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
03899848,Diploma,1999.0,1999-12-24,day,https://find-and-update.company-information.service.gov.uk/company/03899848,1931.0,year,organic_business,https://en.wikipedia.org/wiki/Diploma_plc,Diploma was founded in 1931; 1999 is a later corporate vehicle.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
